Time (msec),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Additive Adaptation - Bank 1 (ms),* Battery voltage (V),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Electric fan (%),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Intake Air Temperature (°C),* Oil Temperature (°C),* Vehicle Speed (km/h)
46000,0.00,0.00,0.00,0.00,0.00,0.00,13.4,92.2,49.73,0,1926,1.568,57.8,103.3,30
46161,0.00,0.00,0.00,0.00,0.00,0.00,13.4,92.2,49.37,0,1912,1.520,57.8,103.3,30
46362,0.00,0.00,0.00,0.00,0.00,0.00,13.5,92.2,47.42,0,1874,1.460,57.8,103.3,30
46561,0.00,0.00,0.00,0.00,0.00,0.00,13.5,92.2,46.28,0,1830,1.428,57.8,103.3,30
46760,0.00,0.00,0.00,0.00,0.00,0.00,13.4,92.2,45.64,0,1795,1.380,57.8,103.3,30
46961,0.00,0.00,0.00,0.00,0.00,0.00,13.5,92.2,45.86,0,1756,1.336,57.8,103.3,27
47162,0.00,0.00,0.00,0.00,0.00,0.00,13.5,92.2,44.97,0,1698,1.316,57.8,103.3,27
47360,0.00,0.00,0.00,0.00,0.00,0.00,13.4,92.2,46.81,0,1661,1.376,57.8,103.3,27
47520,2.26,2.23,0.00,0.00,0.00,0.00,13.5,93.0,60.07,0,1664,1.548,57.8,103.3,27
47721,3.03,2.99,0.00,0.00,0.00,0.00,13.5,93.0,68.00,0,1613,1.752,57.8,103.3,27
47922,3.76,3.72,0.00,0.00,0.00,0.00,13.5,93.0,72.85,0,1601,1.956,57.8,103.3,24
48120,4.49,4.46,0.00,0.00,0.00,0.00,13.5,93.0,74.42,0,1586,1.972,57.8,103.3,24
48320,5.23,5.19,0.00,0.00,0.00,0.00,13.5,93.0,44.84,0,1548,1.884,57.8,103.3,24
48522,5.41,5.66,0.00,0.00,0.00,0.00,13.2,93.0,44.65,0,1524,1.744,57.8,103.3,24
48721,5.41,5.66,0.00,0.00,0.00,0.00,13.3,93.0,45.81,0,1485,1.568,57.8,103.3,24
48920,5.41,5.66,0.00,0.00,0.00,0.00,13.5,93.0,47.08,0,1445,1.488,57.8,103.3,21
49122,5.41,5.66,0.00,0.00,0.00,0.00,13.3,93.0,48.04,0,1416,1.460,57.8,103.3,21
49322,5.41,5.66,0.00,0.00,0.00,0.00,13.2,93.0,49.65,0,1370,1.400,57.8,103.3,21
49522,3.28,5.66,0.00,0.00,0.00,0.00,13.4,93.0,52.74,0,1316,1.420,57.8,103.3,21
49722,5.50,6.15,0.00,0.00,0.00,0.00,13.3,93.0,58.55,0,1233,1.548,57.8,103.3,21
49921,6.01,6.66,0.00,0.00,0.00,0.00,13.1,93.0,68.83,0,1049,2.200,57.8,103.3,20
50121,6.44,7.09,0.00,0.00,0.00,0.00,13.0,93.0,97.30,0,899,2.128,57.8,103.3,20
50322,6.48,7.11,0.00,0.00,0.00,0.00,12.8,93.0,103.62,0,804,2.784,57.8,103.3,20
50521,6.48,7.11,0.00,0.00,0.00,0.00,12.7,93.8,101.97,0,749,2.840,57.8,103.3,20
50721,6.48,7.11,0.00,0.00,0.00,0.00,12.9,93.8,99.47,0,726,2.816,57.8,103.3,20
50921,6.48,7.11,0.00,0.00,0.00,0.00,12.8,93.8,100.69,0,717,2.912,57.8,103.3,14
51121,4.51,7.11,0.00,0.00,0.00,0.00,12.8,93.8,131.80,0,727,3.520,57.8,103.3,14
51322,4.14,5.05,0.00,0.00,0.00,0.00,13.0,93.8,251.53,0,784,5.032,57.8,103.3,14
51520,3.46,4.37,0.00,0.00,0.00,0.00,13.5,93.8,270.09,0,1018,6.904,57.8,103.3,14
51682,2.50,3.41,0.00,0.00,0.00,0.00,13.4,93.8,296.58,0,1297,8.328,57.8,103.3,14
51882,0.77,1.68,0.00,0.00,0.00,0.00,13.4,93.8,279.14,0,1582,8.932,58.5,103.3,13
52081,-1.23,-0.31,0.00,0.00,0.00,0.00,13.4,93.8,271.59,0,1718,8.696,58.5,103.3,13
52282,-3.33,-2.42,0.00,0.00,0.00,0.00,13.3,93.8,272.06,0,1715,8.136,58.5,103.3,13
52482,-5.32,-4.41,0.00,0.00,0.00,0.00,13.2,93.8,280.00,0,1582,7.924,58.5,103.3,13
52681,-1.92,-1.20,0.00,0.00,0.00,0.00,13.4,93.8,303.55,0,1377,8.572,58.5,103.3,13
52881,-0.32,0.40,0.00,0.00,0.00,0.00,13.3,93.8,295.66,0,1301,9.160,58.5,103.3,15
53080,1.38,2.10,0.00,0.00,0.00,0.00,13.4,93.8,282.55,0,1386,9.048,58.5,103.3,15
53282,3.12,3.84,0.00,0.00,0.00,0.00,13.4,93.8,275.85,0,1475,8.968,58.5,103.3,15
53482,4.94,5.66,0.00,0.00,0.00,0.00,13.5,93.8,277.36,0,1517,8.972,58.5,103.3,15
53682,6.83,7.55,0.00,0.00,0.00,0.00,13.3,93.8,281.09,0,1576,9.128,58.5,103.3,15
53881,8.78,8.90,0.00,0.00,0.00,0.00,13.5,93.8,283.25,0,1662,9.336,58.5,103.3,21
54080,9.59,8.90,0.00,0.00,0.00,0.00,13.5,93.8,219.89,0,1724,8.684,58.5,103.3,21
54241,9.59,8.90,0.00,0.00,0.00,0.00,13.3,93.8,201.20,0,1760,7.644,58.5,103.3,21
54442,9.59,8.90,0.00,0.00,0.00,0.00,13.3,93.8,176.26,0,1812,6.660,57.8,103.3,21
54640,9.59,6.32,0.00,0.00,0.00,0.00,13.5,93.8,128.07,0,1865,5.596,57.8,103.3,21
54842,7.20,4.82,0.00,0.00,0.00,0.00,13.3,93.8,115.04,0,1883,4.592,57.8,103.3,26
55040,5.88,3.50,0.00,0.00,0.00,0.00,13.3,93.8,110.89,0,1916,3.972,57.8,103.3,26
55241,4.71,2.33,0.00,0.00,0.00,0.00,13.5,93.8,89.46,0,1940,3.408,57.8,103.3,26
55441,3.60,1.22,0.00,0.00,0.00,0.00,13.4,94.5,88.89,0,1937,3.020,57.0,103.3,26
55642,2.51,2.98,0.00,0.00,0.00,0.00,13.4,94.5,86.60,0,1940,2.800,57.0,103.3,26
55842,1.41,4.08,0.00,0.00,0.00,0.00,13.5,94.5,86.29,0,1947,2.680,57.0,103.3,29
56041,3.15,5.16,0.00,0.00,0.00,0.00,13.5,94.5,87.73,0,1931,2.708,57.0,103.3,29
56240,4.16,6.17,0.00,0.00,0.00,0.00,13.3,94.5,89.74,0,1934,2.716,57.0,103.3,29
56400,2.49,6.22,0.00,0.00,0.00,0.00,13.4,94.5,90.61,0,1931,2.732,57.0,103.3,29
56560,1.68,6.22,0.00,0.00,0.00,0.00,13.5,94.5,91.41,0,1929,2.668,57.0,103.3,29
56721,2.96,6.22,0.00,0.00,0.00,0.00,13.4,94.5,93.62,0,1928,2.692,57.0,103.3,29
56881,3.77,6.22,0.00,0.00,0.00,0.00,13.3,94.5,95.42,0,1921,2.800,57.0,103.3,29
57082,4.78,6.22,0.00,0.00,0.00,0.00,13.4,94.5,95.76,0,1914,2.864,57.0,103.3,29
57281,3.00,3.65,0.00,0.00,0.00,0.00,13.5,94.5,94.80,0,1904,2.840,57.0,103.3,29
57441,2.20,2.84,0.00,0.00,0.00,0.00,13.3,94.5,98.02,0,1898,2.840,57.0,103.3,29
57601,1.39,2.03,0.00,0.00,0.00,0.00,13.4,94.5,98.87,0,1896,2.848,57.0,103.3,29
57801,3.84,4.48,0.00,0.00,0.00,0.00,13.5,94.5,99.59,0,1896,2.976,57.0,103.3,29
58002,4.93,5.58,0.00,0.00,0.00,0.00,13.5,94.5,104.45,0,1888,3.072,57.0,103.3,29
58201,3.22,6.67,0.00,0.00,0.00,0.00,13.4,94.5,103.81,0,1886,3.068,57.0,103.3,29
58401,2.12,6.84,0.00,0.00,0.00,0.00,13.5,94.5,101.71,0,1884,3.052,57.0,103.3,29
58562,1.24,6.84,0.00,0.00,0.00,0.00,13.5,94.5,103.34,0,1881,3.032,57.0,103.3,29
58761,3.88,6.84,0.00,0.00,0.00,0.00,13.5,94.5,102.60,0,1881,3.124,57.0,103.3,29
58962,4.98,6.84,0.00,0.00,0.00,0.00,13.3,94.5,103.07,0,1886,3.144,57.0,103.3,29
59160,5.86,4.35,0.00,0.00,0.00,0.00,13.5,94.5,101.75,0,1883,3.156,57.0,103.3,29
59321,2.82,3.48,0.00,0.00,0.00,0.00,13.4,94.5,104.09,0,1881,3.068,57.0,103.3,29
59522,1.72,2.38,0.00,0.00,0.00,0.00,13.4,95.2,102.69,0,1893,3.032,57.0,103.3,29
59723,4.80,5.02,0.00,0.00,0.00,0.00,13.3,95.2,105.29,0,1886,3.140,57.0,103.3,29
59922,5.88,6.10,0.00,0.00,0.00,0.00,13.5,95.2,145.09,0,1876,3.868,57.0,103.3,29
60122,7.33,7.54,0.00,0.00,0.00,0.00,13.4,95.2,247.56,0,1924,6.624,57.0,103.3,29
60321,4.53,7.92,0.00,0.00,0.00,0.00,13.4,95.2,323.55,0,1970,8.728,57.8,103.3,29
60481,2.52,7.92,0.00,0.00,0.00,0.00,13.5,95.2,316.18,0,2016,9.512,57.8,103.3,29
60640,0.44,7.92,0.00,0.00,0.00,0.00,13.4,95.2,311.13,0,2071,9.412,57.8,103.3,29
60801,3.66,7.92,0.00,0.00,0.00,0.00,13.4,95.2,307.21,0,2129,9.808,57.8,103.3,29
60961,5.83,4.75,0.00,0.00,0.00,0.00,13.4,95.2,302.61,0,2198,9.896,57.8,103.3,29
61120,8.03,2.55,0.00,0.00,0.00,0.00,13.5,95.2,297.83,0,2252,9.980,57.8,103.3,29
61281,9.73,6.40,0.00,0.00,0.00,0.00,13.5,95.2,276.76,0,2318,9.616,57.8,103.3,29
61481,6.25,8.62,0.00,0.00,0.00,0.00,13.3,95.2,270.53,0,2392,8.872,57.8,103.3,29
61681,5.24,4.85,0.00,0.00,0.00,0.00,13.4,95.2,269.58,0,2452,8.696,57.8,103.3,29
61843,7.61,6.70,0.00,0.00,0.00,0.00,13.5,95.2,362.41,0,2529,11.020,57.0,103.3,35
62043,9.77,9.40,0.00,0.00,0.00,0.00,13.4,95.2,425.26,0,2632,13.880,57.0,103.3,35
62241,5.70,4.96,0.00,0.00,0.00,0.00,13.3,95.2,415.85,0,2765,13.660,57.0,103.3,35
62442,1.65,0.90,0.00,0.00,0.00,0.00,13.4,95.2,414.96,0,2868,12.952,57.0,103.3,35
62641,3.53,4.92,0.00,0.00,0.00,0.00,13.4,95.2,413.12,0,2958,13.168,57.0,103.3,35
62841,7.88,9.26,0.00,0.00,0.00,0.00,13.1,95.2,419.03,0,3092,13.724,55.5,103.3,40
63001,10.30,5.99,0.00,0.00,0.00,0.00,13.2,95.2,422.61,0,3184,14.112,55.5,103.3,40
63161,6.76,2.33,0.00,0.00,0.00,0.00,13.3,95.2,424.20,0,3267,13.776,55.5,103.3,40
63323,2.99,3.69,0.00,0.00,0.00,0.00,13.3,95.2,433.29,0,3362,13.452,54.0,103.3,40
63521,8.17,8.49,0.00,0.00,0.00,0.00,13.3,95.2,433.14,0,3469,14.184,54.0,103.3,40
63682,10.62,7.10,0.00,0.00,0.00,0.00,13.5,95.2,434.52,0,3589,14.572,54.0,103.3,40
63881,5.46,2.07,0.00,0.00,0.00,0.00,13.4,95.2,436.34,0,3698,14.056,53.2,103.3,49
64081,2.10,8.02,0.00,0.00,0.00,0.00,13.2,95.2,437.09,0,3822,13.548,53.2,103.3,49
64243,4.05,8.50,0.00,0.00,0.00,0.00,13.2,95.2,206.01,0,3849,9.116,53.2,103.3,49
64442,3.18,7.60,0.00,0.00,0.00,0.00,13.5,96.0,67.21,0,3822,2.640,52.5,103.3,49
64641,3.18,7.60,0.00,0.00,0.00,0.00,13.3,96.0,75.56,0,3528,2.152,52.5,103.3,49
64841,6.05,10.56,0.00,0.00,0.00,0.00,13.3,96.0,173.16,0,3344,3.976,51.0,103.3,56
65040,6.47,10.86,0.00,0.00,0.00,0.00,13.5,96.0,405.89,0,2501,12.748,51.0,103.3,56
65200,6.47,10.86,0.00,0.00,0.00,0.00,13.5,96.0,369.02,0,2604,12.544,51.0,103.3,56
65361,6.47,10.86,0.00,0.00,0.00,0.00,13.5,96.0,365.38,0,2649,12.088,51.0,103.3,56
65521,2.36,7.65,0.00,0.00,0.00,0.00,13.5,96.0,359.59,0,2711,11.340,51.0,103.3,56
65682,-0.43,4.87,0.00,0.00,0.00,0.00,13.5,96.0,359.32,0,2744,11.004,51.0,103.3,56
65880,4.42,1.33,0.00,0.00,0.00,0.00,13.5,96.0,358.56,0,2773,11.404,51.0,103.3,60
66042,6.56,4.37,0.00,0.00,0.00,0.00,13.5,96.0,357.52,0,2816,11.520,51.0,103.3,60
66241,5.01,8.02,0.00,0.00,0.00,0.00,13.5,96.0,350.44,0,2857,11.244,51.0,103.3,60
66401,2.12,8.21,0.00,0.00,0.00,0.00,13.5,96.0,211.22,0,2873,8.228,51.0,103.3,60
66561,1.32,7.16,0.00,0.00,0.00,0.00,13.5,96.0,44.56,0,3084,3.380,51.0,103.3,60
66722,1.32,7.16,0.00,0.00,0.00,0.00,13.5,96.0,70.03,0,2875,2.392,51.0,103.3,60
66921,3.91,9.71,0.00,0.00,0.00,0.00,13.6,96.0,66.92,0,2656,2.532,49.5,103.3,63
67121,5.17,10.56,0.00,0.00,0.00,0.00,13.5,96.0,92.26,0,2092,2.552,49.5,103.3,63
67281,6.07,10.56,0.00,0.00,0.00,0.00,13.6,96.0,94.42,0,2147,2.792,49.5,103.3,63
67481,7.25,10.56,0.00,0.00,0.00,0.00,13.6,96.0,97.81,0,2101,3.036,49.5,103.3,63
67683,7.31,10.56,0.00,0.00,0.00,0.00,13.5,96.0,100.00,0,2097,3.092,49.5,103.3,63
67880,7.31,10.56,0.00,0.00,0.00,0.00,13.5,96.0,61.41,0,2103,2.820,49.5,103.3,64
68042,7.31,8.23,0.00,0.00,0.00,0.00,13.6,96.0,52.61,0,2085,2.272,49.5,103.3,64
68242,7.31,7.21,0.00,0.00,0.00,0.00,13.6,96.0,50.90,0,2073,2.000,49.5,103.3,64
68442,4.88,6.21,0.00,0.00,0.00,0.00,13.6,96.0,50.88,0,2074,1.880,49.5,103.3,64
68642,3.87,5.20,0.00,0.00,0.00,0.00,13.5,96.0,51.75,0,2066,1.780,49.5,103.3,64
68841,0.00,0.00,0.00,0.00,0.00,0.00,13.5,96.0,52.23,0,2047,1.588,49.5,103.3,63
69041,0.00,0.00,0.00,0.00,0.00,0.00,13.5,96.0,51.20,0,2034,1.556,49.5,103.3,63
69241,0.00,0.00,0.00,0.00,0.00,0.00,13.6,96.0,51.05,0,2040,1.512,49.5,103.3,63
69440,0.00,0.00,0.00,0.00,0.00,0.00,13.5,96.0,52.32,0,2017,1.508,49.5,103.3,63
69601,2.07,2.12,0.00,0.00,0.00,0.00,13.5,96.0,55.64,0,2021,1.640,49.5,103.3,63
69800,3.08,3.13,0.00,0.00,0.00,0.00,13.5,96.0,56.79,0,2005,1.700,50.2,103.3,62
69960,3.88,3.93,0.00,0.00,0.00,0.00,13.5,96.0,57.89,0,1991,1.736,50.2,103.3,62
70121,4.69,4.74,0.00,0.00,0.00,0.00,13.5,96.0,57.85,0,1992,1.784,50.2,103.3,62
70281,4.74,5.55,0.00,0.00,0.00,0.00,13.5,96.0,58.68,0,1988,1.788,50.2,103.3,62
70441,4.74,5.90,0.00,0.00,0.00,0.00,13.5,96.8,57.38,0,1984,1.800,50.2,103.3,62
70601,4.74,5.90,0.00,0.00,0.00,0.00,13.5,96.8,57.00,0,1973,1.788,50.2,103.3,62
70801,4.74,5.90,0.00,0.00,0.00,0.00,13.5,96.8,56.41,0,1969,1.772,50.2,103.3,61
71001,4.74,5.90,0.00,0.00,0.00,0.00,13.6,96.8,56.49,0,1966,1.784,50.2,103.3,61
71161,4.74,5.90,0.00,0.00,0.00,0.00,13.5,96.8,57.38,0,1960,1.784,50.2,103.3,61
71322,1.91,5.90,0.00,0.00,0.00,0.00,13.5,96.8,57.09,0,1970,1.732,51.0,103.3,61
71521,0.90,3.52,0.00,0.00,0.00,0.00,13.5,96.8,57.47,0,1957,1.716,51.0,103.3,61
71680,0.11,2.72,0.00,0.00,0.00,0.00,13.5,96.8,55.52,0,1951,1.684,51.0,103.3,61
71842,-0.64,1.97,0.00,0.00,0.00,0.00,13.5,96.8,56.62,0,1937,1.680,51.0,103.3,59
72041,-1.56,1.06,0.00,0.00,0.00,0.00,13.6,96.8,56.05,0,1932,1.644,51.0,103.3,59
72201,-2.29,0.33,0.00,0.00,0.00,0.00,13.5,96.8,56.24,0,1926,1.644,51.0,103.3,59
72402,-3.21,-0.59,0.00,0.00,0.00,0.00,13.5,96.8,57.62,0,1904,1.616,51.0,103.3,59
72563,-1.77,1.58,0.00,0.00,0.00,0.00,13.6,96.8,56.03,0,1908,1.640,51.0,103.3,59
72762,-0.85,2.50,0.00,0.00,0.00,0.00,13.6,96.8,56.37,0,1897,1.648,51.0,103.3,59
72963,0.06,3.41,0.00,0.00,0.00,0.00,13.6,96.8,66.05,0,1892,2.208,51.0,103.3,58
73162,0.48,3.73,0.00,0.00,0.00,0.00,13.5,96.8,240.51,0,1940,5.284,51.0,103.3,58
73362,0.48,3.73,0.00,0.00,0.00,0.00,13.5,96.8,224.21,0,1920,6.668,51.8,103.3,58
73562,0.48,3.73,0.00,0.00,0.00,0.00,13.5,96.8,177.06,0,1898,6.060,51.8,103.3,58
73721,0.48,3.73,0.00,0.00,0.00,0.00,13.6,96.8,145.87,0,1904,5.308,51.8,103.3,58
73881,-2.79,0.96,0.00,0.00,0.00,0.00,13.5,97.5,128.75,0,1909,4.564,51.8,103.3,58
74041,-3.97,-0.22,0.00,0.00,0.00,0.00,13.6,97.5,116.93,0,1912,4.008,51.8,103.3,58
74201,-5.01,-1.26,0.00,0.00,0.00,0.00,13.5,97.5,98.66,0,1914,3.560,51.8,103.3,58
74401,-2.88,-2.41,0.00,0.00,0.00,0.00,13.6,97.5,79.48,0,1904,2.992,52.5,103.3,58
74602,-1.81,-3.48,0.00,0.00,0.00,0.00,13.5,97.5,73.66,0,1904,2.588,52.5,103.3,58
74801,-0.80,-4.49,0.00,0.00,0.00,0.00,13.5,97.5,75.31,0,1899,2.444,51.8,103.3,58
75001,0.21,-2.00,0.00,0.00,0.00,0.00,13.5,97.5,75.63,0,1891,2.356,51.8,103.3,58
75202,0.31,-1.04,0.00,0.00,0.00,0.00,13.5,97.5,81.50,0,1891,2.320,51.8,103.3,58
75401,0.31,-0.05,0.00,0.00,0.00,0.00,13.5,97.5,97.24,0,1885,2.588,51.8,103.3,58
75561,0.31,0.75,0.00,0.00,0.00,0.00,13.5,97.5,102.09,0,1877,2.756,51.8,103.3,58
75721,0.31,1.60,0.00,0.00,0.00,0.00,13.5,97.5,119.05,0,1878,3.040,51.8,103.3,58
75922,0.31,2.70,0.00,0.00,0.00,0.00,13.5,97.5,144.05,0,1870,3.724,52.5,103.3,57
76122,1.08,3.87,0.00,0.00,0.00,0.00,13.5,97.5,142.57,0,1870,4.100,52.5,103.3,57
76321,2.31,5.10,0.00,0.00,0.00,0.00,13.5,97.5,144.79,0,1870,4.268,53.2,103.3,57
76521,3.59,2.66,0.00,0.00,0.00,0.00,13.6,97.5,144.05,0,1870,4.348,53.2,103.3,57
76722,4.16,1.38,0.00,0.00,0.00,0.00,13.5,97.5,139.54,0,1871,4.352,53.2,103.3,57
76921,4.16,2.74,0.00,0.00,0.00,0.00,13.6,97.5,127.52,0,1873,4.156,53.2,103.3,57
77081,4.16,3.45,0.00,0.00,0.00,0.00,13.5,97.5,121.23,0,1867,3.924,53.2,103.3,57
77242,4.16,0.98,0.00,0.00,0.00,0.00,13.5,97.5,122.86,0,1865,3.800,53.2,103.3,57
77442,1.83,2.27,0.00,0.00,0.00,0.00,13.5,97.5,121.52,0,1874,3.664,53.2,103.3,57
77643,3.15,3.38,0.00,0.00,0.00,0.00,13.5,97.5,121.97,0,1867,3.700,53.2,103.3,57
77841,4.25,4.48,0.00,0.00,0.00,0.00,13.6,97.5,121.84,0,1869,3.716,54.0,103.3,57
78043,5.34,5.58,0.00,0.00,0.00,0.00,13.6,97.5,122.18,0,1864,3.736,54.0,103.3,57
78243,6.17,6.07,0.00,0.00,0.00,0.00,13.6,97.5,122.18,0,1864,3.768,54.0,103.3,57
78441,6.17,2.89,0.00,0.00,0.00,0.00,13.6,97.5,121.63,0,1861,3.764,54.0,103.3,57
78643,6.17,4.00,0.00,0.00,0.00,0.00,13.5,97.5,120.68,0,1864,3.760,54.0,103.3,57
78803,6.17,4.87,0.00,0.00,0.00,0.00,13.5,97.5,117.96,0,1860,3.708,54.0,103.3,57
79002,6.17,5.70,0.00,0.00,0.00,0.00,13.6,97.5,112.22,0,1856,3.580,54.0,103.3,57
79200,3.01,2.92,0.00,0.00,0.00,0.00,13.5,97.5,111.59,0,1854,3.388,54.0,103.3,57
79360,2.20,2.11,0.00,0.00,0.00,0.00,13.5,97.5,111.42,0,1857,3.344,54.0,103.3,57
79521,1.39,1.31,0.00,0.00,0.00,0.00,13.5,97.5,106.76,0,1847,3.248,54.0,103.3,57
79680,2.77,3.80,0.00,0.00,0.00,0.00,13.6,97.5,102.88,0,1849,3.216,54.0,103.3,57
79841,3.58,4.60,0.00,0.00,0.00,0.00,13.5,97.5,100.63,0,1849,3.148,54.0,103.3,57
80001,4.39,5.41,0.00,0.00,0.00,0.00,13.5,97.5,100.25,0,1842,3.108,54.0,103.3,57
80161,5.19,6.21,0.00,0.00,0.00,0.00,13.5,97.5,100.25,0,1842,3.092,54.0,103.3,57
80322,6.00,7.02,0.00,0.00,0.00,0.00,13.5,97.5,101.12,0,1840,3.088,54.0,103.3,57
80522,6.30,4.64,0.00,0.00,0.00,0.00,13.5,98.2,99.72,0,1838,3.092,54.0,103.3,57
80721,6.30,3.64,0.00,0.00,0.00,0.00,13.6,98.2,99.23,0,1833,3.076,54.0,103.3,57
80883,6.30,2.83,0.00,0.00,0.00,0.00,13.5,98.2,100.38,0,1826,3.068,54.0,103.3,56
81083,6.30,5.22,0.00,0.00,0.00,0.00,13.5,98.2,100.59,0,1822,3.080,54.0,103.3,56
81282,3.92,6.22,0.00,0.00,0.00,0.00,13.5,98.2,99.30,0,1818,2.996,54.8,103.3,56
81483,2.92,4.60,0.00,0.00,0.00,0.00,13.5,98.2,97.26,0,1813,2.952,54.8,103.3,56
81681,1.91,3.60,0.00,0.00,0.00,0.00,13.5,98.2,98.41,0,1806,2.908,54.8,103.3,56
81882,0.90,2.59,0.00,0.00,0.00,0.00,13.6,98.2,96.82,0,1807,2.884,54.8,103.3,55
82083,3.79,4.88,0.00,0.00,0.00,0.00,13.5,98.2,98.68,0,1801,2.964,54.8,103.3,55
82283,4.78,5.86,0.00,0.00,0.00,0.00,13.6,98.2,71.20,0,1794,2.796,54.8,103.3,55
82481,5.19,4.09,0.00,0.00,0.00,0.00,13.6,98.2,45.11,0,1785,2.088,54.8,103.3,55
82642,5.19,3.43,0.00,0.00,0.00,0.00,13.6,98.2,44.03,0,1766,1.892,54.8,103.3,55
82842,5.19,2.61,0.00,0.00,0.00,0.00,13.5,98.2,43.97,0,1768,1.736,54.8,103.3,55
83042,5.19,1.78,0.00,0.00,0.00,0.00,13.6,98.2,44.27,0,1756,1.620,54.8,103.3,55
83241,5.19,1.25,0.00,0.00,0.00,0.00,13.6,98.2,43.71,0,1747,1.480,54.8,103.3,55
83402,5.19,1.25,0.00,0.00,0.00,0.00,13.5,98.2,43.91,0,1739,1.424,54.8,103.3,55
83601,5.19,1.25,0.00,0.00,0.00,0.00,13.6,98.2,43.46,0,1725,1.392,54.8,103.3,55
83801,5.19,1.25,0.00,0.00,0.00,0.00,13.5,98.2,43.02,0,1711,1.356,54.8,103.3,53
83960,5.19,1.25,0.00,0.00,0.00,0.00,13.6,98.2,43.19,0,1704,1.348,54.8,103.3,53
84161,5.19,1.25,0.00,0.00,0.00,0.00,13.6,98.2,42.02,0,1685,1.308,54.8,103.3,53
84321,5.19,1.25,0.00,0.00,0.00,0.00,13.5,98.2,42.27,0,1675,1.308,54.8,103.3,53
84522,5.19,1.25,0.00,0.00,0.00,0.00,13.6,98.2,42.61,0,1662,1.284,54.8,103.3,53
84722,5.19,1.25,0.00,0.00,0.00,0.00,13.5,98.2,41.38,0,1644,1.272,54.8,103.3,53
84921,5.19,1.25,0.00,0.00,0.00,0.00,13.5,98.2,41.55,0,1637,1.272,54.8,103.3,51
85081,5.19,1.25,0.00,0.00,0.00,0.00,13.6,98.2,41.91,0,1623,1.256,54.8,103.3,51
85241,5.52,3.54,0.00,0.00,0.00,0.00,13.5,98.2,54.23,0,1613,1.424,54.8,103.3,51
85401,6.11,4.13,0.00,0.00,0.00,0.00,13.6,98.2,64.76,0,1608,1.668,54.8,103.3,51
85562,6.69,4.71,0.00,0.00,0.00,0.00,13.6,98.2,64.88,0,1605,1.832,54.8,103.3,51
85762,7.43,5.45,0.00,0.00,0.00,0.00,13.6,98.2,65.10,0,1600,1.948,54.8,103.3,51
85961,8.16,6.18,0.00,0.00,0.00,0.00,13.6,98.2,65.58,0,1588,2.012,54.8,103.3,49
86162,8.53,6.91,0.00,0.00,0.00,0.00,13.5,98.2,63.95,0,1585,2.040,54.8,103.3,49
86361,8.53,7.64,0.00,0.00,0.00,0.00,13.5,98.2,65.16,0,1577,2.040,54.8,103.3,49
86522,8.53,7.97,0.00,0.00,0.00,0.00,13.5,99.0,65.52,0,1568,2.052,54.8,103.3,49
86721,8.53,7.97,0.00,0.00,0.00,0.00,13.5,99.0,65.01,0,1559,2.052,54.8,103.3,49
86881,8.53,7.97,0.00,0.00,0.00,0.00,13.5,99.0,64.42,0,1552,2.044,54.8,103.3,48
87043,8.53,7.97,0.00,0.00,0.00,0.00,13.6,99.0,63.68,0,1548,2.032,54.8,103.3,48
87241,5.83,7.97,0.00,0.00,0.00,0.00,13.6,99.0,64.97,0,1539,1.988,54.8,103.3,48
87442,5.10,5.46,0.00,0.00,0.00,0.00,13.5,99.0,64.44,0,1530,1.948,54.8,103.3,48
87642,4.37,4.73,0.00,0.00,0.00,0.00,13.6,99.0,63.78,0,1524,1.940,54.8,103.3,48
87802,3.78,4.14,0.00,0.00,0.00,0.00,13.6,99.0,63.10,0,1518,1.936,54.8,103.3,47
88001,3.05,5.93,0.00,0.00,0.00,0.00,13.6,99.0,64.38,0,1510,1.924,54.8,103.3,47
88203,2.32,6.66,0.00,0.00,0.00,0.00,13.5,99.0,65.77,0,1499,1.896,54.8,103.3,47
88401,1.58,7.39,0.00,0.00,0.00,0.00,13.6,99.0,64.33,0,1489,1.892,55.5,103.3,47
88560,1.00,7.98,0.00,0.00,0.00,0.00,13.6,99.0,64.57,0,1484,1.880,55.5,103.3,47
88720,0.41,8.56,0.00,0.00,0.00,0.00,13.6,99.0,64.82,0,1478,1.880,55.5,103.3,47
88882,-0.16,9.00,0.00,0.00,0.00,0.00,13.5,99.0,65.18,0,1470,1.840,55.5,103.3,45
89082,1.93,9.00,0.00,0.00,0.00,0.00,13.5,99.0,62.47,0,1467,1.872,55.5,103.3,45
89280,2.57,9.00,0.00,0.00,0.00,0.00,13.5,99.0,61.90,0,1458,1.876,55.5,103.3,45
89441,3.08,9.00,0.00,0.00,0.00,0.00,13.5,99.0,63.06,0,1453,1.884,55.5,103.3,45
89642,3.72,9.00,0.00,0.00,0.00,0.00,13.6,99.0,51.22,0,1437,1.820,55.5,103.3,45
89841,4.07,6.49,0.00,0.00,0.00,0.00,13.5,99.0,49.63,0,1343,1.496,55.5,103.3,44
