Time (msec),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Additive Adaptation - Bank 1 (ms),* Battery voltage (V),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Electric fan (%),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Intake Air Temperature (°C),* Oil Temperature (°C),* Vehicle Speed (km/h)
11601,6.65,6.08,0.00,0.00,0.00,0.00,13.6,102.8,200.99,0,2121,6.628,56.2,107.2,15
11800,8.19,8.05,0.00,0.00,0.00,0.00,13.6,102.8,185.56,0,2215,6.324,56.2,107.2,15
11960,5.61,5.58,0.00,0.00,0.00,0.00,13.6,102.8,176.09,0,2287,5.876,56.2,107.2,15
12120,3.89,3.87,0.00,0.00,0.00,0.00,13.6,102.0,107.67,0,2360,4.800,56.2,107.2,15
12322,2.14,2.12,0.00,0.00,0.00,0.00,13.6,102.0,59.67,0,2327,2.600,56.2,107.2,15
12520,0.00,0.00,0.00,0.00,0.00,0.00,13.6,102.0,55.90,0,2161,1.948,55.5,107.2,20
12681,0.00,0.00,0.00,0.00,0.00,0.00,13.6,102.0,53.59,0,1943,1.764,55.5,107.2,20
12881,0.00,0.00,0.00,0.00,0.00,0.00,13.5,102.0,47.93,0,1680,1.568,55.5,107.2,20
13080,2.00,1.96,0.00,0.00,0.00,0.00,13.5,102.0,65.39,0,1444,1.652,54.8,107.2,20
13240,2.51,2.48,0.00,0.00,0.00,0.00,13.4,102.0,93.96,0,1330,1.880,54.8,107.2,20
13401,3.00,2.97,0.00,0.00,0.00,0.00,13.3,102.0,107.37,0,1332,2.828,54.8,107.2,20
13601,3.67,3.63,0.00,0.00,0.00,0.00,13.4,102.0,122.18,0,1341,3.108,54.8,107.2,20
13761,4.23,4.20,0.00,0.00,0.00,0.00,13.4,102.0,124.41,0,1306,3.488,54.8,107.2,20
13922,4.30,4.78,0.00,0.00,0.00,0.00,13.5,102.0,127.86,0,1314,3.612,54.8,107.2,20
14121,4.30,5.00,0.00,0.00,0.00,0.00,13.4,102.0,125.57,0,1316,3.712,54.8,107.2,20
14321,4.30,5.00,0.00,0.00,0.00,0.00,13.5,102.0,120.00,0,1296,3.676,54.8,107.2,20
14522,4.30,5.00,0.00,0.00,0.00,0.00,13.5,102.0,97.58,0,1295,3.472,54.8,107.2,19
14720,4.30,5.00,0.00,0.00,0.00,0.00,13.5,102.0,83.93,0,1307,3.048,54.8,107.2,19
14880,1.68,5.00,0.00,0.00,0.00,0.00,13.5,102.0,70.12,0,1287,2.664,54.8,107.2,19
15041,1.20,2.61,0.00,0.00,0.00,0.00,13.5,102.0,56.41,0,1280,2.148,54.8,107.2,19
15201,0.76,2.17,0.00,0.00,0.00,0.00,13.5,102.0,55.75,0,1245,1.936,54.8,107.2,19
15400,2.69,3.77,0.00,0.00,0.00,0.00,13.6,102.0,55.90,0,1242,1.868,54.8,107.2,19
15601,3.24,4.31,0.00,0.00,0.00,0.00,13.5,102.0,59.57,0,1189,1.888,54.8,107.2,19
15761,3.68,4.75,0.00,0.00,0.00,0.00,13.6,102.0,60.56,0,1192,1.840,54.8,107.2,19
15960,4.22,5.30,0.00,0.00,0.00,0.00,13.6,102.0,62.96,0,1147,1.892,54.8,107.2,19
16121,4.66,5.74,0.00,0.00,0.00,0.00,13.5,102.0,64.23,0,1124,1.900,54.8,107.2,19
16281,5.05,6.13,0.00,0.00,0.00,0.00,13.5,102.0,63.17,0,1099,1.936,54.8,107.2,19
16480,5.51,6.59,0.00,0.00,0.00,0.00,13.6,102.0,65.18,0,1065,1.968,54.8,107.2,19
16640,5.88,6.96,0.00,0.00,0.00,0.00,13.5,102.0,66.81,0,1039,1.976,54.8,107.2,17
16800,6.24,7.32,0.00,0.00,0.00,0.00,13.5,102.0,67.87,0,1023,2.012,54.8,107.2,17
17001,6.70,7.78,0.00,0.00,0.00,0.00,13.5,102.0,69.84,0,994,2.044,54.8,107.2,17
