Time (msec),* Engine Load (mg/stroke),* Fuel Injector Pulse Width (ms),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Oil Temperature (°C),* Engine Speed (RPM)
0,79.63,1.960,-4.29,-0.45,100.9,715
119,78.74,1.956,-4.46,-0.29,100.9,723
199,78.74,1.948,-4.57,-0.18,100.9,723
279,78.85,1.952,-4.68,-0.07,100.9,722
360,79.40,1.952,-4.79,0.04,100.9,717
479,79.40,1.976,-3.28,-1.46,100.9,717
560,79.29,1.976,-3.17,-1.56,100.9,718
680,79.19,1.980,-3.00,-1.73,100.9,719
799,79.40,1.984,-2.84,-1.89,100.9,717
879,79.40,1.988,-2.73,-2.00,100.9,717
959,79.29,1.988,-2.62,-2.11,100.9,718
1039,79.19,1.992,-2.51,-2.22,100.9,719
1119,79.06,1.992,-2.40,-2.33,100.9,720
1199,79.19,1.988,-2.29,-2.44,100.9,719
1279,78.95,1.996,-2.18,-2.55,100.9,721
1399,79.06,2.000,-2.01,-2.72,100.9,720
1479,79.40,1.996,-1.90,-2.83,100.9,717
1560,79.19,2.004,-1.79,-2.86,100.9,719
1679,79.06,2.004,-1.65,-2.86,100.9,720
1810,78.74,2.004,-1.65,-2.86,100.9,723
1919,78.74,2.000,-1.65,-2.86,100.9,723
2000,78.74,2.004,-1.65,-1.21,100.9,723
2119,79.29,2.000,-1.65,-1.04,100.9,718
2199,79.29,2.000,-1.65,-0.93,100.9,718
2319,78.42,2.004,-1.65,-0.77,100.9,726
2400,78.19,2.000,-1.65,-0.66,100.9,728
2519,78.64,1.972,-3.38,-0.49,100.9,724
2598,78.53,1.972,-3.49,-0.38,100.9,725
2680,79.06,1.968,-3.60,-0.27,100.9,720
2800,78.42,1.964,-3.77,-0.11,100.9,726
2919,78.95,1.964,-3.93,0.06,100.9,721
3000,79.50,1.964,-4.04,0.17,100.9,716
3119,79.40,1.956,-4.20,-1.61,100.9,717
3200,79.63,1.960,-4.31,-1.72,100.9,715
3319,79.50,1.952,-4.48,-1.88,100.9,716
3399,79.40,1.952,-4.59,-1.99,100.9,717
3480,79.19,1.952,-4.70,-2.10,100.9,719
3599,79.50,1.948,-4.86,-2.27,100.9,716
3680,80.42,1.980,-3.35,-2.38,100.9,708
3799,79.63,1.980,-3.19,-2.54,100.9,715
3879,79.63,1.984,-3.08,-2.65,100.9,715
3959,79.29,1.988,-2.97,-2.76,100.9,718
4039,79.06,1.988,-2.86,-2.82,100.9,720
4119,78.74,1.988,-2.75,-2.82,100.9,723
4239,78.95,1.992,-2.58,-2.82,100.9,721
4319,79.29,1.996,-2.47,-2.82,100.9,718
4400,79.06,1.996,-2.36,-2.82,100.9,720
4519,79.74,2.000,-2.20,-1.14,100.9,714
4600,79.29,2.000,-2.09,-1.03,100.9,718
4720,78.95,2.004,-1.92,-0.87,100.9,721
4839,78.85,2.008,-1.76,-0.70,100.9,722
4919,78.95,2.008,-1.76,-0.59,100.9,721
4999,79.06,2.008,-1.76,-0.48,100.9,720
5081,78.95,2.008,-1.76,-0.37,100.9,721
5198,79.40,2.008,-1.76,-0.21,100.9,717
5280,81.56,2.012,-1.76,-0.10,100.9,715
5399,82.83,2.040,-1.76,0.07,100.9,704
5479,86.29,2.048,-1.76,0.18,100.9,692
5559,89.85,2.112,-1.76,0.29,100.9,680
5639,95.06,2.160,-1.76,0.40,100.9,672
5719,100.23,2.148,-3.51,0.51,100.9,665
5799,106.33,2.216,-3.62,0.62,100.9,666
5880,111.50,2.320,-3.73,0.73,100.9,660
6000,114.85,2.448,-2.16,0.89,100.9,665
6119,115.21,2.572,-1.97,1.08,100.9,675
6200,114.02,2.596,-1.82,1.23,100.9,682
6319,107.26,2.620,-1.60,1.45,100.9,712
6399,102.86,2.600,-1.46,1.60,100.9,729
6479,99.04,2.596,-1.31,-0.24,100.9,743
6559,97.73,2.568,-1.16,-0.39,100.9,753
6639,96.71,2.544,-1.11,-0.54,100.9,761
6720,97.35,2.516,-1.11,-0.68,100.9,756
6839,97.86,2.496,-1.11,-0.90,100.9,752
6919,98.26,2.496,-1.11,-1.05,100.9,749
6999,98.51,2.484,-1.11,-1.20,100.9,747
7080,100.78,2.480,-1.11,-1.34,100.9,744
7199,107.24,2.492,-1.11,-1.56,100.9,751
7279,118.45,2.544,-1.11,-1.71,100.9,762
7359,125.42,2.632,-1.11,-1.86,100.9,775
7439,130.51,2.712,-1.11,-2.02,100.9,798
7520,131.44,2.748,-3.14,-2.20,100.9,824
7639,123.66,2.852,-1.56,-2.34,100.9,887
7719,114.74,2.696,-1.37,-2.34,100.9,944
7800,75.84,2.680,-1.16,-2.34,100.9,1007
7919,65.12,2.552,-0.83,-0.45,100.9,1066
7999,62.26,2.436,-0.61,-0.23,100.9,1093
8079,62.49,2.348,-0.61,-2.13,100.9,1111
8159,63.17,2.236,-0.61,-2.35,100.9,1121
8238,64.46,2.120,-0.61,-2.57,100.9,1120
8320,61.60,2.032,-0.61,-2.76,100.9,1082
8439,58.61,1.944,-0.61,-3.04,100.9,995
8519,64.86,2.176,-0.61,-3.21,100.9,942
8599,89.49,1.976,-0.61,-3.36,100.9,869
8679,97.39,1.988,-0.61,-3.51,100.9,827
8760,105.17,2.072,-0.61,-3.64,100.9,779
8879,109.57,2.196,-0.61,-3.81,100.9,735
8998,104.91,2.296,-0.61,-3.97,100.9,728
9080,100.82,2.296,-2.46,-4.08,100.9,730
9199,94.21,2.316,-2.62,-4.25,100.9,737
9280,91.82,2.308,-2.73,-4.36,100.9,741
9399,91.58,2.292,-2.90,-4.52,100.9,743
9479,91.58,2.284,-3.01,-4.63,100.9,743
9559,91.82,2.280,-3.12,-4.74,100.9,741
9638,91.33,2.268,-3.23,-4.85,100.9,745
9718,90.84,2.260,-3.34,-4.96,100.9,749
9799,90.84,2.252,-3.45,-5.07,100.9,749
9880,92.94,2.256,-3.56,-5.18,100.9,747
10000,93.32,2.252,-3.72,-5.35,100.9,744
10119,91.82,2.248,-3.89,-5.51,100.9,741
10199,94.21,2.256,-4.00,-5.62,100.9,737
10279,91.69,2.252,-4.11,-5.73,100.9,742
10359,92.32,2.248,-4.22,-5.84,100.9,737
10439,91.69,2.248,-4.33,-5.94,100.9,742
10520,93.83,2.248,-4.44,-5.94,100.9,740
10639,93.70,2.244,-4.60,-5.94,100.9,741
10719,93.58,2.244,-4.71,-5.94,100.9,742
10800,94.08,2.244,-4.82,-5.94,100.9,738
10880,94.47,2.228,-4.93,-5.94,100.9,735
11000,94.34,2.248,-5.10,-4.16,100.9,736
11120,93.19,2.236,-5.26,-4.00,100.9,745
11200,92.81,2.236,-5.37,-3.89,100.9,748
11279,92.69,2.232,-5.48,-3.78,100.9,749
11359,93.96,2.236,-5.59,-3.67,100.9,739
11439,94.08,2.268,-3.84,-3.56,100.9,738
11519,93.58,2.268,-3.73,-3.45,100.9,742
11600,93.07,2.268,-3.62,-3.34,100.9,746
11721,92.94,2.272,-3.46,-3.17,100.9,747
11839,92.94,2.276,-3.30,-3.01,100.9,747
11919,93.45,2.276,-3.19,-2.90,100.9,743
11999,94.34,2.284,-3.08,-2.79,100.9,736
12080,95.23,2.276,-2.97,-2.68,100.9,729
12160,96.16,2.296,-2.86,-2.57,100.9,722
12240,96.84,2.312,-2.75,-2.46,100.9,717
12319,97.79,2.332,-2.64,-2.35,100.9,710
12400,98.77,2.320,-2.53,-2.24,100.9,703
12520,98.47,2.384,-2.36,-2.08,100.9,705
12640,98.89,2.360,-2.20,-1.91,100.9,702
12719,98.47,2.408,-2.09,-1.80,100.9,705
12799,98.07,2.404,-1.94,-1.66,100.9,708
12879,98.09,2.404,-1.80,-1.51,100.9,722
12959,98.24,2.400,-1.65,-1.37,100.9,735
13039,97.58,2.424,-1.51,-1.22,100.9,740
13120,98.26,2.440,-1.36,-1.07,100.9,749
13200,100.23,2.440,-1.21,-0.93,100.9,762
13320,108.28,2.492,-0.98,-0.69,100.9,795
13440,112.50,2.560,-0.70,-0.42,100.9,827
13519,111.48,2.620,-0.52,-0.24,100.9,847
13599,109.53,2.640,-0.34,-0.05,100.9,862
13679,110.12,2.672,-0.15,0.13,100.9,870
13759,111.01,2.660,0.03,0.31,100.9,863
13839,113.92,2.684,0.21,0.50,100.9,841
13920,117.27,2.692,0.39,0.68,100.9,817
14039,129.77,2.740,0.65,0.93,100.9,749
14119,137.88,2.788,0.79,1.08,100.9,715
14199,155.94,2.864,0.94,1.22,100.9,659
14279,186.83,3.060,1.09,1.37,100.9,602
14360,260.83,3.700,1.23,1.52,100.9,559
14479,409.24,5.084,1.50,1.79,100.9,509
14560,480.59,6.072,1.72,2.01,100.9,497
14681,467.90,7.276,2.10,2.38,100.9,555
14799,286.36,7.420,2.56,2.84,100.9,708
14880,177.47,6.428,2.64,0.77,100.9,892
14960,133.31,5.748,2.64,0.35,100.9,1052
15081,113.41,4.980,2.64,-0.38,100.9,1249
15200,111.48,4.420,2.64,-1.15,100.9,1395
15280,112.20,4.228,2.64,-1.65,100.9,1448
15399,111.01,3.840,2.64,-2.36,100.9,1501
15479,114.26,3.536,0.32,-2.80,100.9,1507
15559,116.10,3.344,-0.09,-3.21,100.9,1495
15639,117.86,3.172,-0.48,-3.61,100.9,1461
15719,123.56,3.060,-0.85,-3.97,100.9,1416
15799,126.42,2.988,-1.18,-4.30,100.9,1362
15882,134.73,2.932,-1.47,-4.59,100.9,1278
16000,150.45,3.100,-1.87,-4.99,100.9,1163
16120,170.11,3.324,-2.27,-5.19,100.9,1053
16240,202.41,3.596,-2.56,-5.19,100.9,933
16360,249.28,4.328,-0.51,-5.19,100.9,830
16480,291.00,5.100,-0.12,-5.19,100.9,754
16559,311.11,5.628,0.13,-3.17,100.9,732
16639,310.41,6.112,0.42,-2.89,100.9,765
16719,273.75,6.324,0.75,-2.56,100.9,837
16799,238.22,6.172,1.14,-2.17,100.9,921
16879,209.19,5.912,1.56,-1.74,100.9,1009
16960,188.65,5.556,-0.40,-1.28,100.9,1082
17081,181.85,5.148,-1.11,-2.93,100.9,1176
17200,181.47,4.816,-1.84,-3.66,100.9,1232
17319,187.72,4.544,-2.53,-4.35,100.9,1228
17400,190.14,4.496,-2.97,-4.79,100.9,1205
17519,194.33,4.444,-3.63,-5.23,100.9,1179
17599,186.26,4.424,-4.07,-5.23,100.9,1245
17679,175.03,4.364,-4.24,-5.23,100.9,1325
17759,170.79,4.252,-4.24,-5.23,100.9,1366
17840,170.52,4.132,-4.24,-2.94,100.9,1360
17959,170.43,4.168,-2.07,-2.27,100.9,1377
18039,166.51,4.140,-1.59,-1.80,100.9,1426
18119,159.58,4.100,-1.11,-1.31,100.9,1488
18200,158.46,4.020,-0.62,-0.82,100.9,1516
18279,163.04,3.860,-2.76,-0.35,100.9,1516
18360,161.55,3.808,-3.24,-2.74,100.9,1530
18439,157.44,3.772,-3.72,-3.21,100.9,1570
18519,155.53,3.704,-4.15,-3.71,100.9,1616
18599,158.33,3.668,-4.15,-3.90,100.9,1640
18679,158.42,3.644,-4.15,-3.90,100.9,1648
18759,159.29,3.656,-4.15,-1.74,100.9,1665
18840,158.76,3.712,-1.92,-1.26,100.9,1697
18921,159.73,3.748,-1.41,-0.74,100.9,1730
19040,162.59,3.796,-0.62,0.04,100.9,1768
19119,162.59,3.820,-0.06,0.60,100.9,1785
19198,162.32,3.844,0.51,1.18,100.9,1805
19280,161.00,3.872,1.10,1.76,100.9,1837
19399,165.07,3.788,-1.70,-1.04,100.9,1876
19519,163.42,3.764,-2.65,-1.98,100.9,1912
19641,166.91,3.708,-3.63,-2.97,100.9,1955
19760,167.02,3.836,-1.20,-0.53,100.9,1987
19880,168.19,3.900,-0.15,0.51,100.9,2031
20000,160.09,3.756,0.92,1.58,100.9,2073
20121,54.63,3.040,1.97,2.48,100.9,2084
20240,51.79,2.144,-0.55,-0.43,100.9,2064
20360,53.04,1.680,0.00,0.00,100.9,2016
20439,52.87,1.652,0.00,0.00,100.9,1917
20519,51.77,1.548,0.00,0.00,100.9,1824
20599,45.94,1.432,0.00,0.00,100.9,1723
20680,43.82,1.372,0.00,0.00,100.9,1616
20760,42.04,1.392,0.00,0.00,100.9,1519
20839,44.18,0.976,0.00,0.00,100.9,1414
20920,46.24,0.776,0.00,0.00,100.9,1321
21040,60.16,1.408,0.00,0.00,100.9,1154
21119,73.02,1.512,1.85,1.87,100.9,1065
21200,88.96,1.772,2.03,2.05,100.9,999
21280,108.49,1.912,2.21,2.24,100.9,960
21360,129.73,2.484,2.37,2.40,100.9,942
21440,152.67,2.768,2.53,2.55,100.9,955
21520,158.50,3.084,2.74,2.76,100.9,990
21599,154.73,3.240,2.96,2.98,100.9,1068
21679,147.06,3.240,3.19,3.22,100.9,1152
21759,140.91,3.212,3.45,3.47,100.9,1222
21839,142.65,3.288,3.51,3.57,100.9,1246
21920,143.03,3.348,3.51,3.57,100.9,1262
22040,143.12,3.368,3.51,3.57,100.9,1271
22119,144.26,3.384,3.51,3.57,100.9,1261
22200,148.01,3.432,3.51,3.57,100.9,1229
22279,152.61,3.496,3.51,3.57,100.9,1201
22360,156.95,3.580,3.51,3.57,100.9,1159
22481,158.52,3.692,3.51,3.57,100.9,1130
22599,154.03,3.644,1.34,1.27,100.9,1163
22680,155.37,3.644,1.01,0.94,100.9,1153
22759,151.89,3.632,0.68,0.61,100.9,1152
22839,147.29,3.592,0.35,0.28,100.9,1169
22919,143.12,3.536,0.02,-0.05,100.9,1174
22999,139.35,3.472,-0.31,-0.38,100.9,1166
23079,133.20,3.388,-0.63,-0.70,100.9,1178
23161,126.86,3.276,-0.92,-0.99,100.9,1193
23279,125.91,3.148,-1.36,-1.43,100.9,1180
23360,115.53,3.056,-1.63,-1.70,100.9,1190
23439,104.49,2.908,-1.88,-1.95,100.9,1196
23520,98.94,2.764,-2.14,-2.21,100.9,1193
23600,94.59,2.636,-2.40,-2.47,100.9,1189
23681,89.46,2.536,-2.65,-2.72,100.9,1195
23801,86.41,2.368,-3.04,-3.11,100.9,1189
23919,83.06,2.244,-3.41,-3.48,100.9,1187
24000,78.23,2.156,-3.63,-3.70,100.9,1189
24079,77.53,2.096,-3.85,-3.92,100.9,1182
24159,73.44,2.012,-4.07,-4.14,100.9,1172
24280,68.42,1.888,-4.40,-4.47,100.9,1177
24400,63.27,1.772,-4.73,-4.80,100.9,1163
24519,64.97,1.676,-5.06,-5.13,100.9,1154
24640,64.10,1.620,-5.39,-5.46,100.9,1148
24759,62.72,1.576,-5.72,-3.68,100.9,1129
24839,57.81,1.536,-5.94,-3.46,100.9,1129
24920,55.84,1.468,-6.16,-3.24,100.9,1144
25041,55.39,1.420,-6.49,-2.91,100.9,1128
25159,55.58,1.376,-6.82,-2.58,100.9,1124
25239,55.88,1.388,-7.04,-2.36,100.9,1118
25320,55.79,1.348,-7.26,-2.14,100.9,1120
25440,56.53,1.376,-5.37,-1.86,100.9,1105
25521,56.24,1.376,-5.19,-1.68,100.9,1111
25641,57.00,1.380,-4.92,-1.40,100.9,1096
25760,56.75,1.372,-4.64,-1.13,100.9,1101
25840,57.38,1.380,-4.46,-0.94,100.9,1089
25960,59.29,1.404,-4.18,-0.67,100.9,1054
26080,64.67,1.452,-3.91,-0.39,100.9,966
26162,67.47,1.444,-3.74,-0.23,100.9,926
26281,73.34,1.480,-3.52,-0.01,100.9,852
26400,77.62,1.576,-3.30,0.21,100.9,805
26519,81.37,1.684,-3.27,0.40,100.9,768
26599,83.64,1.736,-3.27,0.51,100.9,747
26680,85.01,1.792,-3.27,0.62,100.9,735
26801,85.95,1.896,-3.27,0.66,100.9,727
26919,86.18,1.976,-3.27,0.66,100.9,725
27000,85.95,1.996,-3.27,0.66,100.9,727
27080,85.48,2.012,-3.27,0.66,100.9,731
27161,84.55,2.048,-3.27,0.66,100.9,739
27281,83.87,2.020,-5.07,0.66,100.9,745
27401,82.43,2.012,-5.23,0.66,100.9,758
27521,83.49,1.996,-5.40,-1.09,100.9,765
27639,89.17,2.212,-5.56,-1.25,100.9,763
27719,108.34,3.064,-5.67,-1.36,100.9,769
27799,156.47,3.288,-5.78,-1.47,100.9,781
27881,237.75,3.500,-5.95,-1.64,100.9,806
28000,269.39,4.300,-6.24,-1.93,100.9,866
28079,257.44,4.636,-6.52,-2.21,100.9,917
28160,250.40,4.696,-6.83,-2.52,100.9,915
28279,261.48,5.020,-5.34,-3.00,100.9,855
28360,273.71,5.336,-5.01,-3.33,100.9,827
28439,266.49,5.544,-4.68,-1.23,100.9,839
28520,256.99,5.872,-4.33,-0.88,100.9,897
28599,263.77,5.916,-3.93,-0.48,100.9,895
28681,267.76,6.020,-3.52,-0.07,100.9,892
28800,274.18,6.300,-2.92,0.53,100.9,937
28881,291.13,6.444,-2.48,0.68,100.9,954
29000,292.72,6.804,-1.77,0.68,100.9,982
29081,282.40,6.932,-1.29,0.68,100.9,1013
29200,287.36,6.924,-0.91,0.68,100.9,1039
29280,311.07,7.108,-0.91,0.68,100.9,1058
29359,309.01,7.268,-0.91,0.68,100.9,1092
29441,308.59,7.356,-0.91,-1.50,100.9,1116
29560,309.67,7.472,-0.91,-2.38,100.9,1148
29640,301.43,7.456,-0.91,-2.98,100.9,1184
29719,300.54,7.456,-0.91,-3.60,100.9,1206
29800,302.42,7.272,-3.33,-4.22,100.9,1226
29879,289.39,7.192,-3.98,-4.87,100.9,1262
29959,290.71,7.052,-4.64,-3.39,100.9,1285
30039,286.43,6.928,-5.30,-2.73,100.9,1309
30119,283.29,6.804,-5.79,-2.07,100.9,1348
30200,280.98,6.812,-3.52,-1.41,100.9,1369
30279,280.32,6.768,-2.83,-0.72,100.9,1397
30359,278.71,6.748,-2.13,-0.02,100.9,1430
30440,273.33,6.744,-1.44,0.67,100.9,1453
30559,277.17,6.748,-0.36,1.75,100.9,1498
30680,279.16,6.848,0.74,2.85,100.9,1547
30800,269.79,6.864,1.88,3.99,100.9,1575
30921,262.84,6.748,3.03,5.14,100.9,1622
31000,254.56,6.680,3.82,5.93,100.9,1642
31080,249.13,6.564,4.42,5.93,100.9,1661
31159,244.87,6.400,4.42,5.93,100.9,1690
31240,235.89,6.112,2.12,5.93,100.9,1719
31319,222.09,5.916,1.33,5.93,100.9,1732
31400,219.04,5.636,0.57,5.93,100.9,1756
31480,218.19,5.420,-0.18,5.93,100.9,1782
31560,203.78,5.048,-0.95,5.93,100.9,1799
31680,182.19,4.840,0.90,5.93,100.9,1814
31800,159.96,4.612,1.97,3.28,100.9,1849
31919,141.95,4.196,2.67,2.25,100.9,1839
32000,116.40,3.816,2.67,1.62,100.9,1861
32080,51.24,2.948,-0.08,1.03,100.9,1870
32160,47.30,2.464,-0.58,0.53,100.9,1849
32241,44.35,2.160,-1.02,0.10,100.9,1847
32360,44.16,1.784,-1.62,-0.51,100.9,1855
32480,44.12,1.632,-2.19,-1.08,100.9,1825
32560,43.59,1.508,-2.53,-1.42,100.9,1784
32681,40.60,1.420,-3.03,-1.91,100.9,1812
32801,42.66,1.340,-3.55,-2.44,100.9,1790
32920,41.79,1.204,-4.05,-2.93,100.9,1728
33039,42.53,1.224,-4.05,-2.93,100.9,1730
33121,45.71,1.244,-1.84,-0.93,100.9,1701
33240,49.82,1.248,-1.35,-0.44,100.9,1672
33362,63.10,1.456,-1.14,0.03,100.9,1650
33482,83.64,1.480,-1.14,0.18,100.9,1627
33601,88.93,1.688,-1.14,0.18,100.9,1608
33720,93.15,1.852,-1.14,0.18,100.9,1610
33839,100.93,2.004,-1.14,0.18,100.9,1582
33920,109.38,2.148,-1.14,0.18,100.9,1536
34039,122.97,2.588,-1.14,0.18,100.9,1547
34120,149.01,2.660,-1.14,0.18,100.9,1547
34239,179.42,3.076,-3.75,-1.87,100.9,1517
34320,182.91,3.384,-4.14,-2.27,100.9,1526
34400,191.26,3.708,-2.41,-2.59,100.9,1532
34520,204.63,4.104,-1.69,-0.34,100.9,1520
34601,208.11,4.336,-1.17,0.17,100.9,1528
34720,218.55,4.676,-0.33,1.02,100.9,1544
34799,229.49,4.952,0.26,1.61,100.9,1543
34879,231.59,5.144,0.73,2.23,100.9,1547
34960,225.93,5.244,0.73,-0.04,100.9,1555
35040,196.86,5.080,0.73,-0.70,100.9,1559
35159,162.17,4.728,0.73,-1.62,100.9,1567
35240,156.34,4.540,0.73,-2.19,100.9,1581
35320,154.69,4.360,0.73,-2.75,100.9,1589
35440,157.40,4.160,0.73,-3.57,100.9,1588
35521,157.21,4.076,0.73,-4.11,100.9,1590
35640,135.81,3.764,-1.87,-4.88,100.9,1595
35759,117.46,3.400,-2.58,-5.59,100.9,1596
35840,111.93,3.124,-3.00,-6.01,100.9,1588
35961,108.96,2.852,-3.58,-6.58,100.9,1593
36080,106.20,2.648,-4.13,-7.13,100.9,1569
36160,107.28,2.576,-4.49,-7.50,100.9,1566
36279,107.43,2.504,-5.01,-8.02,100.9,1577
36360,110.17,2.468,-5.34,-8.06,100.9,1563
36440,112.07,2.508,-5.67,-8.06,100.9,1561
36520,120.44,2.528,-5.87,-8.06,100.9,1568
36600,137.69,2.620,-5.87,-8.06,100.9,1553
36681,149.81,2.800,-5.87,-5.87,100.9,1548
36799,157.15,3.132,-3.68,-5.31,100.9,1564
36880,160.64,3.276,-3.27,-4.91,100.9,1556
36960,156.17,3.392,-2.85,-4.48,100.9,1556
37039,157.36,3.476,-2.41,-4.04,100.9,1562
37121,154.39,3.528,-1.97,-3.60,100.9,1556
37241,152.61,3.548,-1.31,-2.94,100.9,1556
37359,150.34,3.436,-3.80,-2.29,100.9,1561
37439,151.32,3.416,-4.24,-1.85,100.9,1560
37519,139.92,3.372,-4.67,-1.41,100.9,1568
37600,136.55,3.264,-5.11,-0.97,100.9,1566
37681,134.41,3.184,-5.51,-3.53,100.9,1560
37800,128.26,3.024,-6.12,-4.14,100.9,1559
37881,124.45,2.936,-6.50,-4.52,100.9,1551
37999,124.60,2.824,-7.04,-5.06,100.9,1538
38081,121.88,2.788,-7.37,-5.39,100.9,1538
38201,125.25,2.732,-7.87,-5.89,100.9,1530
38321,125.40,2.716,-7.87,-6.13,100.9,1517
38440,124.43,2.696,-7.87,-6.13,100.9,1529
38520,122.18,2.684,-7.87,-4.13,100.9,1523
38599,122.82,2.728,-5.82,-3.80,100.9,1515
38681,122.41,2.728,-5.49,-3.48,100.9,1520
38799,123.96,2.720,-5.00,-2.98,100.9,1501
38879,125.30,2.744,-4.67,-2.65,100.9,1485
38960,121.84,2.760,-4.34,-2.32,100.9,1493
39040,121.84,2.764,-4.01,-1.99,100.9,1493
39121,122.39,2.768,-3.68,-1.66,100.9,1475
39239,119.00,2.772,-3.19,-3.50,100.9,1482
39321,121.36,2.708,-5.36,-3.83,100.9,1476
39441,111.99,2.644,-5.85,-4.33,100.9,1463
39560,99.38,2.520,-6.35,-4.82,100.9,1467
39680,99.87,2.404,-6.79,-5.27,100.9,1446
39800,93.21,2.300,-7.23,-5.70,100.9,1445
39920,88.55,2.172,-7.67,-6.14,100.9,1427
40000,87.15,2.112,-7.96,-6.44,100.9,1418
40120,86.35,2.028,-0.40,1.12,100.9,1415
40241,86.29,1.964,-0.82,0.71,100.9,1400
40360,86.73,1.940,-1.20,0.32,100.9,1393
40479,87.35,1.924,-1.59,0.03,100.9,1383
40561,87.54,1.912,-1.84,0.03,100.9,1380
40681,87.47,1.908,-2.07,0.03,100.9,1381
40800,92.49,1.924,-2.07,2.25,100.9,1381
40920,110.57,2.024,-2.07,2.64,100.9,1394
41039,117.20,2.204,-2.07,3.06,100.9,1398
41121,122.65,2.336,-0.03,3.35,100.9,1404
41240,146.32,2.596,0.43,3.81,100.9,1414
41361,174.05,2.964,0.93,4.31,100.9,1428
41480,179.75,3.364,1.51,4.89,100.9,1460
41599,185.96,3.656,2.16,5.54,100.9,1471
41680,180.71,3.792,2.62,6.00,100.9,1483
41800,181.56,3.928,3.37,6.75,100.9,1522
41881,180.03,3.952,3.88,7.26,100.9,1535
42000,182.66,4.000,4.65,8.03,100.9,1566
42120,180.94,4.068,5.46,8.84,100.9,1604
42201,181.39,4.092,1.35,4.72,100.9,1623
42319,177.85,4.112,2.17,5.55,100.9,1663
42400,177.95,4.124,2.72,6.10,100.9,1670
42520,176.43,4.160,3.56,4.25,100.9,1708
42640,178.06,4.164,4.43,3.38,100.9,1747
42720,175.83,4.084,2.34,2.79,100.9,1761
42840,172.72,4.000,1.43,1.89,100.9,1801
42919,173.10,3.936,0.81,1.27,100.9,1821
43000,170.73,3.900,0.19,2.76,100.9,1830
43079,169.18,3.928,2.16,3.39,100.9,1855
43160,162.23,3.880,2.80,4.03,100.9,1883
43240,157.23,3.840,3.42,4.65,100.9,1890
43320,152.50,3.748,4.05,5.28,100.9,1912
43400,150.47,3.664,4.67,5.51,100.9,1938
43480,145.79,3.580,4.67,3.08,100.9,1943
43559,140.98,3.416,2.24,2.50,100.9,1960
43640,136.55,3.284,1.63,1.89,100.9,1983
43720,134.54,3.164,1.04,1.30,100.9,1992
43800,132.90,3.088,0.48,0.74,100.9,2006
43880,130.09,3.012,-0.06,2.54,100.9,2028
43999,129.39,3.024,2.42,3.36,100.9,2039
44079,129.56,3.024,2.97,3.92,100.9,2058
44160,127.33,3.004,3.56,4.51,100.9,2072
44240,127.56,3.008,4.15,5.09,100.9,2090
44320,124.92,2.968,4.36,5.51,100.9,2112
44400,125.28,2.908,2.15,5.51,100.9,2117
44481,124.64,2.868,1.60,3.10,100.9,2128
44600,123.07,2.800,0.77,2.26,100.9,2155
44680,123.66,2.756,0.20,1.69,100.9,2167
44760,121.19,2.736,-0.35,1.14,100.9,2177
44880,121.99,2.772,1.46,2.51,100.9,2197
45001,122.37,2.792,2.34,3.39,100.9,2224
45120,122.39,2.808,3.22,4.27,100.9,2235
45200,121.63,2.812,3.22,4.27,100.9,2249
45279,124.17,2.796,3.22,2.10,100.9,2259
45361,119.79,2.724,0.53,1.51,100.9,2272
45480,120.83,2.692,-0.35,0.63,100.9,2287
45561,121.19,2.664,-0.94,0.04,100.9,2303
45680,121.61,2.652,-1.83,1.19,100.9,2318
45801,115.87,2.688,0.37,2.12,100.9,2337
45921,110.68,2.588,1.27,3.03,100.9,2346
46041,107.67,2.524,1.63,3.47,100.9,2360
46160,105.46,2.368,-0.54,1.14,100.9,2383
46281,103.32,2.292,-1.42,0.26,100.9,2392
46400,96.01,2.268,0.21,2.34,100.9,2401
46519,93.49,2.184,1.09,3.22,100.9,2421
46600,88.62,2.124,1.23,3.50,100.9,2429
46720,79.76,1.972,-0.94,3.50,100.9,2437
46840,77.83,1.812,-1.77,0.57,100.9,2444
46960,76.94,1.732,-2.58,-0.24,100.9,2454
47079,74.23,1.676,-3.35,-1.01,100.9,2469
47160,75.27,1.644,-3.86,-1.53,100.9,2472
47240,74.93,1.628,-4.37,-2.04,100.9,2465
47320,74.14,1.604,-4.88,-2.55,100.9,2453
47401,70.56,1.564,-5.40,-3.06,100.9,2440
47521,66.85,1.488,-1.17,4.07,100.9,2430
47641,59.08,1.416,-1.93,4.84,100.9,2421
47761,57.89,1.348,-2.66,5.33,100.9,2398
47881,56.37,1.276,-3.38,5.33,100.9,2365
48001,56.47,1.228,-4.09,2.62,100.9,2385
48122,56.53,1.204,-4.80,1.90,100.9,2358
48240,56.07,1.184,-0.52,6.19,100.9,2328
48320,55.50,1.172,-0.99,5.71,100.9,2327
48400,55.33,1.160,-1.47,5.24,100.9,2309
48481,55.24,1.180,0.54,4.76,100.9,2287
48600,55.58,1.308,0.66,4.64,100.9,2273
48680,55.18,1.308,0.66,4.64,100.9,2265
48760,55.09,1.304,0.66,4.64,100.9,2243
48839,54.35,1.300,0.66,4.64,100.9,2222
48919,53.44,1.292,0.66,4.64,100.9,2208
49000,52.51,1.284,0.66,4.64,100.9,2195
49081,53.06,1.280,0.66,4.64,100.9,2172
