Time (msec),* Engine Load (mg/stroke),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Ignition Angle (° CRK),* Lambda Integrator - Bank 2 (%),* Lambda Integrator - Bank 1 (%)
262440,152.93,1825,3.476,25.88,5.03,2.05
262519,151.85,1829,3.576,25.50,5.54,2.56
262599,152.19,1825,3.636,25.50,5.93,3.08
262680,150.41,1828,3.668,25.50,5.93,3.59
262760,152.84,1826,3.700,25.50,5.93,3.72
262839,151.00,1830,3.708,25.50,5.93,3.72
262919,153.35,1829,3.720,25.50,5.93,3.72
263001,152.53,1830,3.720,25.50,5.93,3.72
263119,150.60,1835,3.712,25.50,5.93,3.72
263200,151.34,1835,3.712,25.88,5.93,3.72
263279,148.92,1837,3.676,25.50,3.30,3.72
263360,151.11,1838,3.668,25.50,2.78,3.72
263441,147.65,1834,3.564,25.50,2.27,1.02
263560,139.39,1843,3.452,25.50,1.49,0.24
263639,135.70,1842,3.364,25.50,0.98,-0.27
263719,133.07,1847,3.248,25.50,0.48,-0.77
263801,132.61,1843,3.192,25.50,0.01,-1.24
263880,130.06,1847,3.128,25.88,-0.47,-1.72
263960,133.37,1843,3.080,25.50,-0.95,-2.20
264081,131.21,1852,3.116,25.88,-1.66,0.26
264199,128.41,1849,3.100,25.88,-2.38,0.97
264280,129.85,1850,3.104,25.88,-0.16,1.45
264360,129.11,1850,3.104,25.88,0.31,1.92
264439,129.03,1851,3.112,25.88,0.75,2.36
264520,125.76,1855,3.096,25.88,1.19,2.80
264600,126.65,1853,3.092,25.88,1.63,3.24
264680,126.04,1851,3.092,25.88,2.07,3.29
264760,124.66,1849,3.076,25.88,2.51,3.29
264840,120.44,1856,3.040,25.88,2.51,3.29
264920,121.88,1857,3.008,25.50,2.51,3.29
954388,123.03,1851,2.976,25.50,2.51,3.29
954487,78.93,774,2.012,1.50,1.96,1.04
954566,80.08,763,1.996,2.25,1.96,2.65
954652,78.76,758,2.024,2.62,1.96,2.76
954768,79.50,751,2.040,3.00,3.73,2.93
954848,81.24,752,2.048,3.00,3.84,3.04
954928,79.72,749,2.052,3.00,3.95,3.15
955009,79.40,752,2.052,2.62,4.06,3.26
955127,80.03,746,2.064,3.38,4.22,3.42
955208,80.03,746,2.072,3.38,4.33,3.53
955288,79.82,748,2.068,3.00,4.44,3.64
955369,80.03,746,2.076,3.00,4.55,3.75
955487,80.14,745,2.080,3.00,4.72,3.91
955567,80.46,742,2.092,3.38,4.83,4.02
955647,79.93,747,2.084,2.62,4.94,4.13
955728,80.14,745,2.088,3.00,5.05,4.24
955807,80.14,745,2.084,3.00,5.16,4.35
955887,78.59,742,2.084,3.00,5.27,4.46
955967,78.49,743,2.084,3.00,5.38,4.57
956047,79.02,738,2.092,3.38,5.49,4.68
956128,78.91,739,2.092,3.38,5.60,4.79
956208,78.81,740,2.096,3.00,5.71,4.90
956288,78.49,743,2.096,2.62,5.82,5.01
956368,78.70,741,2.096,3.00,5.93,5.12
956448,78.91,739,2.100,3.00,6.04,5.23
956528,78.91,739,2.100,3.00,6.15,5.34
956607,79.02,738,2.104,3.38,6.26,5.45
956687,78.81,740,2.104,3.00,6.37,5.49
956808,78.91,739,2.104,3.00,4.83,5.49
956889,79.02,738,2.108,3.00,4.76,5.49
957007,79.12,737,2.080,3.38,4.65,3.73
957088,79.12,737,2.076,3.38,4.57,3.66
957208,80.10,728,2.060,4.12,4.46,3.55
957287,79.67,732,2.064,3.75,4.39,3.48
957367,79.89,730,2.064,4.12,4.32,3.40
957448,79.99,729,2.072,4.12,4.24,3.33
957528,79.89,730,2.068,3.75,4.17,3.26
957608,79.78,731,2.064,3.75,4.10,3.18
957687,80.10,728,2.072,4.12,4.02,3.11
957768,79.99,729,2.072,4.12,3.95,3.04
957851,79.99,729,2.064,4.12,3.88,2.96
957967,79.34,735,2.064,3.38,3.77,2.85
958048,79.67,732,2.064,3.75,3.69,2.78
958127,79.78,731,2.060,3.75,3.62,2.71
958207,77.98,730,2.060,3.75,3.55,2.63
958287,77.77,732,2.052,3.75,3.47,2.56
958368,77.98,730,2.052,4.12,3.40,2.49
958447,78.09,729,2.052,4.12,3.33,2.41
958529,78.19,728,2.048,4.12,3.25,2.34
958648,78.42,726,2.048,4.12,3.14,2.23
958727,78.42,726,2.048,4.12,3.07,2.16
958807,78.30,727,2.044,4.12,3.00,2.08
958887,78.19,728,2.044,4.12,2.92,2.01
958967,78.30,727,2.044,4.12,2.85,1.94
959048,78.30,727,2.040,4.12,2.78,1.86
959168,78.85,722,2.040,4.50,2.67,1.75
959288,78.30,727,2.036,4.12,2.56,1.64
959368,78.64,724,2.064,4.50,3.92,3.08
959451,78.42,726,2.064,4.12,3.99,3.15
959569,78.19,728,2.064,4.12,4.10,3.26
959687,77.98,730,2.068,3.75,4.21,3.37
959807,78.19,728,2.068,4.12,4.32,3.48
959888,78.19,728,2.072,4.12,4.39,3.55
959969,78.19,728,2.072,4.12,4.47,3.63
960087,78.09,729,2.072,4.12,4.58,3.74
960168,78.53,725,2.076,4.50,4.65,3.81
960247,78.64,724,2.076,4.50,4.72,3.88
960328,78.64,724,2.076,4.50,4.80,3.89
960409,78.09,729,2.076,4.12,4.87,3.89
960528,78.09,729,2.076,4.12,4.92,3.89
960608,77.98,730,2.076,3.75,3.04,3.89
960688,78.53,725,2.076,4.50,2.96,3.89
960808,78.53,725,2.076,4.50,2.85,3.89
960889,78.30,727,2.076,4.12,2.78,3.89
961007,78.19,728,2.052,4.12,2.67,2.19
961088,78.42,726,2.048,4.12,2.60,2.12
961167,78.95,721,2.052,4.50,2.52,2.05
961249,79.06,720,2.052,4.50,2.45,1.97
961327,79.19,719,2.052,4.88,2.38,1.90
961408,78.95,721,2.048,4.50,2.30,1.83
961488,79.40,717,2.048,5.25,2.23,1.75
961567,78.85,722,2.048,4.50,2.16,1.68
961649,79.06,720,2.044,4.88,2.08,1.61
961728,78.64,724,2.040,4.50,2.01,1.53
961808,79.19,719,2.036,5.25,1.94,1.46
961887,78.74,723,2.040,4.50,3.31,1.39
961968,78.64,724,2.036,4.12,3.39,1.31
962048,78.74,723,2.036,4.50,3.46,1.24
962128,78.74,723,2.036,4.50,3.53,1.17
962214,78.85,722,2.036,4.50,3.61,1.09
