Time (msec),* Coolant Temperature (°C),* Electric fan (%),* Engine Load (mg/stroke),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Idle speed controller (%),* Idle speed duty cycle (%),* Ignition Angle (° CRK),* Intake Air Temperature (°C),* Knock sensor 1 (V),* Knock sensor 2 (V),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Lambda post cat heating 1 (%),* Lambda post cat heating 2 (%),* Lambda pre cat heating 1 (%),* Lambda pre cat heating 2 (%),* Mass Airflow (kg/h),* Oil Temperature (°C),* Radiator outlet temperature (°C),* Throttle Position actual (°TPS),* Throttle Position pedal (°TPS),* Throttle adaptation (V),* Vehicle Speed (km/h),* Battery voltage (V),** Lambda Additive Adaptation - Bank 1 (ms),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Multiplicative Adaptation - Bank 2 (%)
529574,105.0,0,50.24,1879,1.464,0.501,39.258,-3.75,46.5,0.49,0.31,0.00,0.00,94,94,97,97,17.00,106.4,56.2,0.0,0.0,0.18,29,13.4,0.00,0.00,0.22,0.43
529734,105.0,0,48.10,1847,1.432,0.501,38.844,-4.12,46.5,0.47,0.29,0.00,0.00,94,94,97,97,16.00,106.4,57.0,0.0,0.0,0.18,29,13.5,0.00,0.00,0.22,0.43
529893,105.0,0,50.60,1811,1.572,0.501,43.087,-5.25,46.5,0.43,0.29,0.00,0.00,94,94,97,97,16.50,106.4,57.0,0.0,2.7,0.18,29,13.5,0.00,0.00,0.22,0.43
530054,105.0,0,63.89,1782,1.688,0.501,48.843,6.00,46.5,0.41,0.27,0.45,0.50,94,94,97,97,20.50,106.4,57.0,0.0,5.9,0.18,29,13.5,0.00,0.00,0.22,0.43
530213,105.0,0,93.58,1766,1.908,0.501,55.212,17.25,46.5,0.39,0.27,1.11,1.15,94,94,97,97,29.75,106.4,57.0,0.0,7.8,0.18,29,13.5,0.00,0.00,0.22,0.43
530374,105.0,0,113.01,1745,2.828,0.501,56.204,23.25,46.5,0.37,0.25,1.78,1.82,94,94,97,97,35.50,106.4,57.0,0.0,8.2,0.15,29,13.5,0.00,0.00,0.22,0.43
530573,105.0,0,119.58,1707,3.272,0.501,57.533,23.62,46.5,0.35,0.25,2.69,2.73,95,95,99,99,36.75,106.4,57.0,0.0,8.6,0.14,26,13.5,0.00,0.00,0.22,0.43
530733,105.0,0,123.66,1718,3.552,0.501,58.150,24.00,46.5,0.33,0.23,3.20,3.48,95,95,99,99,38.25,106.4,57.0,0.0,8.6,0.13,26,13.5,0.00,0.00,0.22,0.43
530894,105.0,0,126.02,1686,3.636,0.501,57.800,23.25,46.5,0.31,0.23,3.20,3.48,95,95,99,99,38.25,106.4,57.0,0.0,8.6,0.12,26,13.5,0.00,0.00,0.22,0.43
531053,105.0,0,127.27,1702,3.760,0.501,59.160,24.00,47.2,0.31,0.21,3.20,3.48,95,95,99,99,39.00,106.4,57.0,0.0,8.6,0.12,26,13.5,0.00,0.00,0.22,0.43
531214,105.0,0,132.12,1671,3.828,0.501,59.227,23.62,47.2,0.29,0.21,3.20,3.48,95,95,99,99,39.75,106.4,57.8,0.0,9.0,0.12,26,13.5,0.00,0.00,0.22,0.43
531413,105.0,0,134.43,1663,3.916,0.501,59.175,23.25,47.2,0.29,0.21,3.20,3.48,95,95,99,99,40.25,106.4,57.8,0.0,9.0,0.12,26,13.5,0.00,0.00,0.22,0.43
531614,105.0,0,132.88,1672,3.868,0.501,59.453,23.62,47.2,0.29,0.21,0.33,0.71,96,96,99,99,40.00,106.4,57.8,0.0,9.0,0.12,24,13.5,0.00,0.00,0.22,0.43
531815,105.0,0,133.39,1676,3.856,0.501,59.632,23.25,47.2,0.27,0.21,-0.68,-0.29,96,96,99,99,40.25,106.4,57.8,0.0,9.0,0.12,24,13.5,0.00,0.00,0.22,0.43
532013,105.0,0,134.30,1675,3.916,0.501,59.435,23.25,47.2,0.27,0.20,1.01,1.69,96,96,99,99,40.50,106.4,57.8,0.0,9.0,0.12,24,13.5,0.00,0.00,0.22,0.43
532175,105.0,0,132.61,1686,3.948,0.501,59.549,23.62,47.2,0.27,0.20,1.81,2.50,96,96,99,99,40.25,106.4,57.8,0.0,9.0,0.12,24,13.5,0.00,0.00,0.22,0.43
532373,105.0,0,134.54,1672,4.004,0.501,59.632,23.25,47.2,0.25,0.20,2.82,3.40,96,96,99,99,40.50,106.4,57.8,0.0,9.0,0.12,24,13.5,0.00,0.00,0.22,0.43
532534,105.0,0,136.76,1655,4.024,0.501,59.577,22.88,47.2,0.25,0.20,3.07,3.40,96,96,99,99,40.75,106.4,57.8,0.0,9.0,0.12,24,13.5,0.00,0.00,0.22,0.43
532693,105.0,0,135.28,1663,4.044,0.501,60.069,23.25,47.2,0.25,0.18,3.07,3.40,96,96,99,99,40.50,106.4,58.5,0.0,9.0,0.12,24,13.4,0.00,0.00,0.22,0.43
532853,105.0,0,138.43,1645,4.072,0.501,59.657,22.88,47.2,0.27,0.20,3.07,3.40,96,96,99,99,41.00,106.4,58.5,0.0,9.0,0.12,24,13.5,0.00,0.00,0.22,0.43
533014,105.0,0,135.93,1655,4.084,0.501,60.370,22.88,48.0,0.25,0.20,3.07,3.40,96,96,99,99,40.50,106.4,58.5,0.0,9.4,0.12,24,13.5,0.00,0.00,0.22,0.43
533174,105.0,0,137.01,1662,4.028,0.501,60.770,23.25,48.0,0.25,0.18,0.81,0.69,96,96,99,99,41.00,106.4,58.5,0.0,9.4,0.12,24,13.2,0.00,0.00,0.22,0.43
533333,105.0,0,144.41,1654,4.048,0.501,61.602,22.88,48.0,0.25,0.18,0.00,2.04,96,96,99,99,43.00,106.4,58.5,0.0,9.4,0.13,24,13.2,0.00,0.00,0.22,0.43
533493,105.0,0,145.07,1656,4.232,0.501,61.966,22.88,48.0,0.25,0.18,2.47,2.85,96,96,99,99,43.25,106.4,58.5,0.0,9.8,0.12,24,13.3,0.00,0.00,0.22,0.43
533653,105.0,0,144.75,1650,4.336,0.501,62.049,22.50,48.0,0.25,0.16,3.35,3.73,97,97,99,99,43.00,106.4,58.5,0.0,9.8,0.12,25,13.5,0.00,0.00,0.22,0.43
533813,105.0,0,142.78,1663,4.388,0.501,62.453,22.88,48.0,0.25,0.16,4.22,4.61,97,97,99,99,42.75,106.4,58.5,0.0,9.8,0.12,25,13.3,0.00,0.00,0.22,0.43
533974,105.0,0,144.90,1658,4.416,0.501,62.677,22.88,48.0,0.25,0.16,4.50,5.27,97,97,99,99,43.25,106.4,58.5,0.0,9.8,0.12,25,13.3,0.00,0.00,0.22,0.43
534173,105.0,0,148.25,1658,4.448,0.501,62.635,22.88,48.0,0.27,0.16,4.50,5.27,97,97,99,99,44.25,106.4,58.5,0.0,9.8,0.12,25,13.5,0.00,0.00,0.22,0.43
534334,105.0,0,146.17,1672,4.476,0.501,63.126,23.25,48.0,0.27,0.16,4.50,5.27,97,97,99,99,44.00,106.4,58.5,0.0,9.8,0.12,25,13.5,0.00,0.00,0.22,0.43
534493,105.0,0,149.05,1677,4.504,0.501,63.758,23.25,48.0,0.27,0.16,4.50,5.27,97,97,99,99,45.00,106.4,58.5,0.0,9.8,0.12,25,13.2,0.00,0.00,0.22,0.43
534653,105.0,0,148.20,1696,4.420,0.501,64.222,23.62,48.0,0.27,0.16,1.84,2.90,98,98,99,99,45.25,106.4,58.5,0.0,9.8,0.12,25,13.1,0.00,0.00,0.22,0.43
534813,105.0,0,154.39,1700,4.628,0.501,73.877,23.62,48.0,0.29,0.16,0.88,1.95,98,98,99,99,47.25,106.4,58.5,0.4,11.3,0.12,25,13.2,0.00,0.00,0.22,0.43
534974,105.0,0,254.30,1731,6.280,0.501,93.701,20.62,48.0,0.31,0.16,3.04,4.49,98,98,99,99,79.25,106.4,58.5,3.5,14.5,0.12,25,13.4,0.00,0.00,0.22,0.43
535173,105.0,0,291.57,1786,8.292,0.501,94.728,17.25,48.0,0.39,0.16,4.23,5.78,98,98,99,99,93.75,106.4,59.2,7.0,15.6,0.12,25,13.2,0.00,0.00,0.22,0.43
535333,105.0,0,277.74,1830,8.800,0.501,94.806,18.75,48.0,0.45,0.20,4.23,5.78,98,98,99,99,91.50,106.4,59.2,7.0,16.0,0.14,25,13.1,0.00,0.00,0.22,0.43
535493,105.0,0,275.36,1871,8.700,0.501,94.936,17.62,48.0,0.53,0.21,4.23,5.78,98,98,99,99,92.75,106.4,59.2,7.8,16.0,0.13,25,13.3,0.00,0.00,0.22,0.43
535653,105.0,0,284.05,1931,8.680,0.501,95.006,17.62,48.8,0.57,0.23,4.23,5.78,97,97,98,98,98.75,106.4,59.2,8.6,16.8,0.11,26,13.5,0.00,0.00,0.22,0.43
535813,105.0,0,287.34,1996,9.084,0.501,95.006,18.00,48.8,0.59,0.25,4.23,3.75,97,97,98,98,103.25,106.4,59.2,10.5,18.0,0.11,26,13.3,0.00,0.00,0.22,0.43
535974,105.0,0,326.33,2098,10.028,0.501,95.006,17.62,48.8,0.64,0.27,5.68,3.57,97,97,98,98,123.25,106.4,59.2,14.5,19.9,0.11,26,13.3,0.00,0.00,0.22,0.43
536133,105.0,0,327.98,2100,10.612,0.501,95.006,17.25,48.0,0.68,0.31,7.86,5.76,97,97,98,98,124.00,106.4,59.2,14.8,20.3,0.11,26,13.5,0.00,0.00,0.22,0.43
536294,105.0,0,318.10,2139,10.704,0.501,95.006,17.25,48.0,0.76,0.33,8.14,7.68,97,97,98,98,122.50,106.4,59.2,14.8,20.3,0.11,26,13.5,0.00,0.00,0.22,0.43
536454,105.0,0,324.10,2228,10.664,0.501,95.006,18.00,48.0,0.82,0.35,8.14,7.68,97,97,98,98,130.00,106.4,59.2,15.2,20.3,0.11,26,13.2,0.00,0.00,0.22,0.43
536613,105.0,0,318.63,2275,10.752,0.501,95.006,18.00,48.0,0.86,0.37,8.14,7.68,96,96,96,96,130.50,106.4,59.2,15.2,20.3,0.11,30,13.1,0.00,0.00,0.22,0.43
536774,105.0,0,317.38,2332,10.276,0.501,95.006,18.38,48.0,0.90,0.37,5.99,7.68,96,96,96,96,133.25,106.4,59.2,15.2,20.3,0.11,30,13.3,0.00,0.00,0.22,0.43
536934,105.0,0,318.10,2401,10.080,0.501,95.006,18.75,48.0,0.90,0.39,3.60,5.25,96,96,96,96,137.50,106.4,59.2,15.2,20.3,0.11,30,13.4,0.00,0.00,0.22,0.43
537094,105.0,0,312.00,2448,9.748,0.501,95.006,19.50,47.2,0.92,0.39,1.18,2.83,96,96,96,96,137.50,106.4,59.2,15.2,20.3,0.11,30,13.5,0.00,0.00,0.22,0.43
537254,105.0,0,310.50,2518,9.672,0.501,95.006,19.88,47.2,0.92,0.39,1.71,0.35,96,96,96,96,140.75,106.4,60.0,15.2,20.3,0.11,30,13.4,0.00,0.00,0.22,0.43
537454,105.0,0,306.51,2587,9.776,0.501,95.006,19.88,47.2,1.00,0.41,4.80,4.90,96,96,96,96,142.75,106.4,60.0,15.2,20.3,0.11,30,13.5,0.00,0.00,0.22,0.43
537614,105.0,0,303.55,2626,9.448,0.501,95.006,20.25,46.5,1.03,0.41,2.10,3.59,95,95,94,94,143.50,106.4,60.0,15.2,20.3,0.11,35,13.4,0.00,0.00,0.22,0.43
537775,105.0,0,276.38,2678,9.068,0.501,95.006,13.50,46.5,1.00,0.41,2.55,0.99,95,95,94,94,133.25,106.4,60.0,12.9,20.3,0.11,35,13.5,0.00,0.00,0.22,0.43
537973,105.0,0,280.85,2759,8.952,0.501,95.006,15.38,46.5,0.96,0.39,5.78,1.12,95,95,94,94,139.50,106.4,60.0,13.7,20.3,0.11,35,13.5,0.00,0.00,0.22,0.43
538136,105.0,0,303.19,2771,9.352,0.501,95.006,21.00,45.8,0.94,0.37,5.25,3.80,95,95,94,94,151.25,106.4,60.0,15.6,20.7,0.10,35,13.4,0.00,0.00,0.22,0.43
538333,105.0,0,292.80,2836,9.300,0.501,95.006,21.00,45.8,0.94,0.39,5.43,7.22,95,95,94,94,149.50,106.4,60.0,15.6,20.7,0.10,35,13.5,0.00,0.00,0.22,0.43
538495,105.0,0,290.85,2898,8.980,0.501,95.006,21.38,45.8,0.96,0.39,2.64,3.10,95,95,94,94,151.75,106.4,60.0,15.6,20.7,0.10,35,13.5,0.00,0.00,0.22,0.43
538695,105.0,0,265.83,2962,8.868,0.501,95.006,21.75,45.0,0.98,0.43,4.65,6.89,93,93,92,92,141.75,106.4,60.0,11.7,16.4,0.10,40,13.4,0.00,0.00,0.22,0.43
538854,105.0,0,61.24,3084,5.256,0.501,57.327,3.75,45.0,0.82,0.43,4.78,6.73,93,93,92,92,34.00,106.4,60.0,0.0,0.0,0.10,40,13.4,0.00,0.00,0.22,0.43
539013,105.0,0,74.33,2970,2.468,0.501,56.093,3.00,44.2,0.68,0.35,0.00,0.00,93,93,92,92,39.75,106.4,60.0,0.0,0.0,0.17,40,13.5,0.00,0.00,0.22,0.43
539174,105.0,0,69.82,2744,2.096,0.501,52.993,2.62,44.2,0.62,0.37,0.00,0.00,93,93,92,92,34.50,106.4,60.0,0.0,0.0,0.18,40,13.4,0.00,0.00,0.22,0.43
539334,105.0,0,64.71,2553,2.348,0.501,53.740,3.38,44.2,0.61,0.41,0.00,0.00,93,93,92,92,29.75,106.4,60.0,0.0,5.1,0.19,40,13.5,0.00,0.00,0.22,0.43
539494,105.0,0,84.53,2497,2.376,0.501,64.197,16.50,44.2,0.55,0.37,2.71,2.65,93,93,92,92,38.00,106.4,60.0,0.0,12.5,0.19,40,13.4,0.00,0.00,0.22,0.43
539653,105.0,0,127.95,2279,2.952,0.501,67.786,25.88,42.8,0.55,0.37,3.17,3.70,94,94,93,93,52.50,106.4,60.0,0.4,14.5,0.15,43,13.4,0.00,0.00,0.22,0.43
539814,105.0,0,155.85,1871,3.936,0.501,67.661,25.50,42.8,0.49,0.29,3.17,4.72,94,94,93,93,52.50,106.4,60.0,0.0,14.5,0.12,43,13.3,0.00,0.00,0.22,0.43
539973,105.0,0,162.99,1968,4.648,0.501,79.218,26.25,42.8,0.41,0.25,3.17,5.71,94,94,93,93,57.75,106.4,60.0,0.8,16.4,0.12,43,13.4,0.00,0.00,0.22,0.43
540135,105.0,0,190.05,1885,5.264,0.501,79.634,25.50,42.8,0.41,0.25,3.17,5.86,94,94,93,93,64.50,106.4,60.8,0.8,16.4,0.12,43,13.4,0.00,0.00,0.22,0.43
540334,105.0,0,189.99,1893,5.360,0.501,81.133,24.38,42.8,0.41,0.25,0.79,5.86,94,94,93,93,64.75,106.4,60.8,0.8,16.4,0.11,43,13.5,0.00,0.00,0.22,0.43
540495,105.0,0,180.18,1896,5.368,0.501,74.174,24.38,42.8,0.45,0.25,-0.58,5.86,94,94,93,93,61.50,106.4,60.8,0.4,15.2,0.10,43,13.5,0.00,0.00,0.22,0.43
540694,105.0,0,113.35,1899,4.616,0.501,45.519,25.12,44.2,0.55,0.25,1.14,5.86,95,95,94,91,38.75,106.4,60.8,0.0,3.5,0.11,43,13.5,0.00,0.00,0.22,0.43
540856,105.0,0,53.19,1906,3.220,0.501,40.912,19.12,44.2,0.51,0.25,1.93,3.06,95,95,94,91,18.25,106.4,60.8,0.0,0.0,0.14,43,13.5,0.00,0.00,0.22,0.43
541054,105.0,0,47.59,1896,2.328,0.501,40.170,13.12,44.2,0.47,0.23,1.93,1.96,95,95,94,91,16.25,106.4,60.8,0.0,0.0,0.19,43,13.4,0.00,0.00,0.22,0.43
541214,105.0,0,48.06,1878,2.076,0.501,39.183,8.62,44.2,0.45,0.23,1.93,1.17,95,95,94,91,16.25,106.4,60.8,0.0,0.0,0.19,43,13.5,0.00,0.00,0.22,0.43
541414,105.0,0,43.59,1879,1.856,0.501,39.246,2.25,44.2,0.41,0.25,1.93,0.26,95,95,94,91,14.75,106.4,60.8,0.0,0.0,0.18,43,13.5,0.00,0.00,0.22,0.43
541574,105.0,0,45.09,1847,1.724,0.501,38.327,-2.62,44.2,0.39,0.27,1.93,-0.47,96,96,95,92,15.00,106.4,60.8,0.0,0.0,0.19,42,13.4,0.00,0.00,0.22,0.43
541736,105.0,0,44.67,1834,1.504,0.501,38.313,-4.12,44.2,0.37,0.27,0.00,0.00,96,96,95,92,14.75,106.4,61.5,0.0,0.0,0.19,42,13.5,0.00,0.00,0.22,0.43
541933,105.0,0,44.60,1805,1.440,0.501,37.517,-4.12,44.2,0.37,0.27,0.00,0.00,96,96,95,92,14.50,106.4,61.5,0.0,0.0,0.19,42,13.5,0.00,0.00,0.22,0.43
542094,105.0,0,45.01,1789,1.380,0.501,37.622,-4.12,44.2,0.37,0.29,0.00,0.00,96,96,95,92,14.50,106.4,61.5,0.0,0.0,0.18,42,13.5,0.00,0.00,0.22,0.43
542254,105.0,0,43.99,1767,1.356,0.501,36.772,-4.50,44.2,0.37,0.29,0.00,0.00,96,96,95,92,14.00,106.4,61.5,0.0,0.0,0.18,42,13.5,0.00,0.00,0.22,0.43
542415,105.0,0,43.91,1739,1.328,0.501,35.948,-4.50,44.2,0.35,0.27,0.00,0.00,96,96,95,92,13.75,106.4,61.5,0.0,0.0,0.19,42,13.5,0.00,0.00,0.22,0.43
542614,105.0,0,42.74,1722,1.284,0.501,34.956,-4.50,44.2,0.37,0.27,0.00,0.00,96,96,96,93,13.25,106.4,61.5,0.0,0.0,0.19,40,13.5,0.00,0.00,0.22,0.43
542775,105.0,0,42.85,1685,1.256,0.501,34.268,-4.88,44.2,0.37,0.27,0.00,0.00,96,96,96,93,13.00,106.4,61.5,0.0,0.0,0.18,40,13.5,0.00,0.00,0.22,0.43
542935,105.0,0,42.51,1666,1.256,0.501,35.144,-4.88,44.2,0.39,0.25,0.00,0.00,96,96,96,93,12.75,106.4,61.5,0.0,0.4,0.19,40,13.5,0.00,0.00,0.22,0.43
543134,105.0,0,42.38,1638,1.236,0.501,33.993,-4.88,44.2,0.37,0.25,0.00,0.00,96,96,96,93,12.50,106.4,61.5,0.0,0.0,0.19,40,13.5,0.00,0.00,0.22,0.43
543335,105.0,0,43.29,1507,1.244,0.501,32.159,-6.38,44.2,0.35,0.23,0.00,0.00,96,96,96,93,11.75,106.4,61.5,0.0,0.0,0.19,40,13.5,0.00,0.00,0.22,0.43
543535,105.0,0,51.05,1224,0.972,0.501,33.070,-10.12,44.2,0.31,0.25,0.00,0.00,97,97,97,94,11.25,106.4,61.5,0.0,0.0,0.18,36,13.3,0.00,0.00,0.22,0.43
543734,105.0,0,83.19,918,1.612,6.659,39.566,6.38,44.2,0.29,0.23,0.00,0.00,97,97,97,94,13.75,106.4,62.2,0.0,0.0,0.19,36,12.8,0.00,0.00,0.22,0.43
543894,105.0,0,98.96,856,2.180,5.292,38.034,4.88,44.2,0.27,0.23,0.20,1.85,97,97,97,94,15.25,106.4,62.2,0.0,0.0,0.18,36,12.6,0.00,0.00,0.22,0.43
544059,105.0,0,92.35,842,2.508,3.730,36.241,4.88,44.2,0.27,0.21,0.50,2.14,97,97,97,94,14.00,106.4,62.2,0.0,0.0,0.19,36,12.7,0.00,0.00,0.22,0.43
544256,105.8,0,72.28,999,2.452,1.776,34.086,5.25,44.2,0.25,0.20,0.88,2.53,97,97,97,94,13.00,106.4,62.2,0.0,0.0,0.18,36,12.9,0.00,0.00,0.22,0.43
544454,105.8,0,52.30,1248,1.828,0.507,33.487,8.25,44.2,0.23,0.20,1.38,3.00,97,97,97,94,11.75,106.4,62.2,0.0,0.0,0.19,36,13.3,0.00,0.00,0.22,0.43
544615,105.8,0,43.63,1464,2.024,0.501,32.069,6.75,44.2,0.23,0.18,1.38,3.00,98,98,99,96,11.50,106.4,62.2,0.0,0.0,0.19,34,13.5,0.00,0.00,0.22,0.43
544814,105.8,0,38.54,1765,1.672,0.501,35.866,5.62,44.2,0.23,0.18,1.38,3.00,98,98,99,96,12.25,106.4,62.2,0.0,0.0,0.19,34,13.5,0.00,0.00,0.22,0.43
544975,105.8,0,44.54,1995,1.664,0.501,41.991,5.62,44.2,0.25,0.20,1.38,3.00,98,98,99,96,16.00,106.4,62.2,0.0,0.0,0.19,34,13.5,0.00,0.00,0.22,0.43
545135,105.8,0,53.93,2034,1.636,4.016,43.702,6.00,45.0,0.27,0.20,1.38,3.00,98,98,99,96,19.75,106.4,62.2,0.0,0.0,0.19,34,13.4,0.00,0.00,0.22,0.43
545334,105.8,0,49.58,1904,1.532,2.942,40.906,-3.75,45.0,0.27,0.21,0.00,0.00,98,98,99,96,17.00,106.4,62.2,0.0,0.0,0.19,34,13.3,0.00,0.00,0.22,0.43
545495,105.8,0,51.51,1914,1.472,1.380,41.200,-3.75,45.0,0.29,0.23,0.00,0.00,98,98,99,96,17.75,106.4,62.2,0.0,0.0,0.19,34,13.3,0.00,0.00,0.22,0.43
545694,105.8,0,44.52,1871,1.412,0.501,39.168,-3.75,45.0,0.33,0.23,0.00,0.00,99,99,99,96,15.00,106.4,62.2,0.0,0.0,0.19,29,13.3,0.00,0.00,0.22,0.43
545894,105.8,0,44.75,1768,1.328,0.501,36.616,-4.50,45.0,0.33,0.25,0.00,0.00,99,99,99,96,14.25,106.4,62.2,0.0,0.0,0.19,29,13.4,0.00,0.00,0.22,0.43
546054,105.8,0,45.07,1787,1.292,0.501,36.519,-4.12,45.0,0.35,0.25,0.00,0.00,99,99,99,96,14.50,106.4,62.2,0.0,0.0,0.19,29,13.5,0.00,0.00,0.22,0.43
546214,105.8,0,43.44,1726,1.260,0.501,34.921,-4.50,45.0,0.35,0.25,0.00,0.00,99,99,99,96,13.50,106.4,63.0,0.0,0.0,0.19,29,13.5,0.00,0.00,0.22,0.43
546374,105.8,0,41.96,1688,1.224,0.501,34.150,-4.88,45.0,0.35,0.25,0.00,0.00,99,99,99,96,12.75,106.4,63.0,0.0,0.0,0.19,29,13.5,0.00,0.00,0.22,0.43
546574,105.8,0,41.21,1651,1.204,0.501,33.538,-4.88,45.0,0.33,0.23,0.00,0.00,99,99,99,97,12.25,106.4,63.0,0.0,0.0,0.19,26,13.5,0.00,0.00,0.22,0.43
546774,105.8,0,40.98,1592,1.236,0.501,32.484,-5.25,45.0,0.31,0.23,0.00,0.00,99,99,99,97,11.75,106.4,63.0,0.0,0.0,0.19,26,13.4,0.00,0.00,0.22,0.43
546974,105.8,0,41.72,1531,1.212,0.501,32.553,-6.00,45.0,0.29,0.20,0.00,0.00,99,99,99,97,11.50,106.4,63.0,0.0,0.0,0.19,26,13.3,0.00,0.00,0.22,0.43
547134,105.8,0,42.44,1472,1.108,0.501,32.214,-6.75,45.0,0.29,0.20,0.00,0.00,99,99,99,97,11.25,106.4,63.0,0.0,0.0,0.19,26,13.0,0.00,0.00,0.22,0.43
547295,105.8,0,44.54,1403,1.060,0.501,32.106,-7.88,45.0,0.27,0.18,0.00,0.00,99,99,99,97,11.25,106.4,63.0,0.0,0.0,0.19,26,13.0,0.00,0.00,0.22,0.43
547455,105.8,0,45.24,1381,1.188,0.501,36.535,-13.50,45.0,0.25,0.18,0.00,0.00,99,99,99,97,11.25,106.4,63.0,0.0,1.6,0.19,26,13.4,0.00,0.00,0.22,0.43
547614,105.8,0,75.99,1334,2.068,0.501,54.803,-3.75,45.0,0.23,0.18,0.10,0.13,99,99,99,99,18.25,106.4,63.0,0.0,10.5,0.19,22,13.5,0.00,0.00,0.22,0.43
547774,105.8,0,306.68,1381,5.108,0.501,91.668,7.50,45.0,0.21,0.18,0.62,0.66,99,99,99,99,76.25,106.4,63.0,3.1,17.2,0.19,22,13.3,0.00,0.00,0.22,0.43
547936,105.8,0,460.46,1336,8.760,0.501,95.006,7.12,45.0,0.25,0.16,1.54,1.57,99,99,99,99,110.75,106.4,63.0,8.6,20.3,0.17,22,13.4,0.00,0.00,0.22,0.43
548134,105.8,0,355.97,1420,11.200,0.501,95.006,10.88,45.8,0.27,0.21,1.92,2.12,99,99,99,99,91.00,106.4,63.0,10.5,21.1,0.19,22,13.5,0.00,0.00,0.22,0.43
548294,105.8,0,338.76,1406,11.140,0.501,95.006,13.50,45.8,0.33,0.25,1.92,2.12,99,99,99,99,85.75,106.4,63.0,11.7,21.5,0.18,22,13.3,0.00,0.00,0.22,0.43
548454,105.8,0,323.32,1499,10.696,0.501,95.006,13.88,45.8,0.37,0.27,1.92,2.12,99,99,99,99,87.25,106.4,63.0,11.7,21.5,0.18,22,13.2,0.00,0.00,0.22,0.43
548614,105.8,0,316.13,1555,10.364,0.501,95.006,12.75,45.8,0.39,0.27,-0.72,2.12,99,99,99,99,88.50,106.4,63.8,12.5,21.5,0.18,20,13.2,0.00,0.00,0.22,0.43
548774,105.8,0,331.75,1599,10.116,0.501,95.006,13.12,45.8,0.43,0.29,-0.46,-1.49,99,99,99,99,95.50,106.4,63.8,13.3,21.5,0.17,20,13.5,0.00,0.00,0.22,0.43
548975,105.8,0,324.25,1696,10.528,0.501,95.006,13.50,45.8,0.51,0.29,1.70,0.88,99,99,99,99,99.00,106.4,63.8,13.3,21.5,0.16,20,13.2,0.00,0.00,0.22,0.43
549175,105.8,0,325.01,1786,10.676,0.501,95.006,14.25,45.8,0.55,0.31,3.96,3.14,99,99,99,99,104.50,106.4,63.8,14.1,21.5,0.15,20,13.1,0.00,0.00,0.22,0.43
549375,105.8,0,322.74,1863,10.716,0.501,95.006,15.38,45.8,0.62,0.35,5.38,5.54,99,99,99,99,108.25,106.4,63.8,14.5,21.5,0.14,20,13.4,0.00,0.00,0.22,0.43
549574,105.8,0,325.50,1954,10.596,0.501,95.006,16.12,45.8,0.64,0.35,5.38,5.54,98,98,98,98,114.50,106.4,63.8,14.8,21.5,0.12,24,13.5,0.00,0.00,0.22,0.43
549735,105.8,0,333.66,2031,10.636,0.501,95.006,16.88,45.8,0.68,0.39,5.38,5.54,98,98,98,98,122.00,106.4,63.8,15.6,21.5,0.11,24,13.5,0.00,0.00,0.22,0.43
549935,105.8,0,323.13,2123,10.680,0.501,95.006,16.88,45.8,0.76,0.39,5.38,5.54,98,98,98,98,123.50,106.4,63.8,15.6,21.5,0.11,24,13.4,0.00,0.00,0.22,0.43
550135,105.8,0,326.01,2215,10.284,0.501,95.006,17.25,45.0,0.82,0.43,1.48,2.05,98,98,98,98,130.00,106.4,63.8,16.0,21.5,0.11,24,13.4,0.00,0.00,0.22,0.43
550295,105.8,0,324.06,2284,10.396,0.501,95.006,18.00,45.0,0.84,0.43,3.05,2.45,98,98,98,98,133.25,106.4,63.8,16.4,21.5,0.12,24,13.4,0.00,0.00,0.22,0.43
550495,105.8,0,320.05,2369,10.540,0.501,95.006,19.12,45.0,0.86,0.45,6.00,5.41,98,98,98,98,136.50,106.4,63.8,16.4,21.5,0.11,24,13.5,0.00,0.00,0.22,0.43
550654,105.8,0,320.41,2453,10.412,0.501,95.006,19.50,45.0,0.96,0.47,6.31,5.56,97,97,96,96,141.50,106.4,63.8,16.4,21.5,0.11,32,13.5,0.00,0.00,0.22,0.43
550814,105.8,0,312.76,2513,10.340,0.501,95.006,19.88,45.0,1.02,0.49,6.31,5.56,97,97,96,96,141.50,106.4,63.8,16.4,21.5,0.11,32,13.5,0.00,0.00,0.22,0.43
550974,105.8,0,310.67,2597,10.104,0.501,95.006,20.25,45.0,1.05,0.51,6.31,5.56,97,97,96,96,145.25,106.4,63.8,16.4,21.5,0.12,32,13.5,0.00,0.00,0.22,0.43
551175,105.8,0,309.33,2698,9.696,0.501,95.006,20.25,44.2,1.07,0.51,3.77,2.51,97,97,96,96,150.25,106.4,63.8,16.4,21.1,0.12,32,13.4,0.00,0.00,0.22,0.43
551334,105.8,0,307.06,2745,9.368,0.501,95.006,20.25,44.2,1.09,0.51,1.13,2.24,97,97,96,96,151.75,106.4,63.8,16.4,21.1,0.12,32,13.5,0.00,0.00,0.22,0.43
