Time (msec),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Intake Air Temperature (°C),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Oil Temperature (°C),* Radiator outlet temperature (°C),* Throttle Position actual (°TPS),* Throttle Position pedal (°TPS),* Vehicle Speed (km/h),** Lambda Additive Adaptation - Bank 1 (ms),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Multiplicative Adaptation - Bank 2 (%)
401684,77.2,141.49,1698,3.944,35.2,2.53,2.49,70.6,48.0,0.0,10.5,38,0.00,0.00,0.00,0.00
401884,77.2,158.27,1711,4.576,35.2,3.43,3.50,70.6,48.0,0.0,10.9,38,0.00,0.00,0.00,0.00
402043,77.2,163.80,1704,4.956,35.2,3.43,3.67,70.6,48.0,0.0,11.3,38,0.00,0.00,0.00,0.00
402244,77.2,171.05,1721,5.272,35.2,3.43,3.67,70.6,48.0,0.0,11.3,38,0.00,0.00,0.00,0.00
402405,77.2,172.87,1735,5.360,36.0,3.43,3.67,70.6,48.0,0.4,11.3,38,0.00,0.00,0.00,0.00
402604,77.2,99.93,1737,4.552,36.0,0.78,1.15,70.6,48.0,0.0,0.0,38,0.00,0.00,0.00,0.00
402804,77.2,36.55,1747,2.824,36.0,-0.35,0.02,70.6,48.0,0.0,0.0,38,0.00,0.00,0.00,0.00
403005,77.2,39.99,1701,2.036,36.0,-1.28,-0.91,70.6,48.0,0.0,0.0,38,0.00,0.00,0.00,0.00
403203,77.2,59.35,1731,2.748,36.0,-2.10,-1.73,70.6,48.0,0.0,9.0,38,0.00,0.00,0.00,0.00
403363,77.2,287.42,1749,6.376,36.0,-2.80,-2.43,70.6,48.0,5.9,16.4,38,0.00,0.00,0.00,0.00
403523,77.2,488.20,1738,10.496,36.0,-4.19,-3.82,70.6,48.0,14.8,20.3,38,0.00,0.00,0.00,0.00
403684,77.2,377.18,1793,11.640,36.0,-6.07,-5.70,70.6,48.0,16.4,21.9,38,0.00,0.00,0.00,0.00
403843,77.2,354.81,1816,11.240,36.0,-8.08,-7.71,70.6,48.0,17.2,21.9,38,0.00,0.00,0.00,0.00
404004,77.2,348.68,1844,11.200,36.0,-5.47,-6.39,70.6,48.0,16.8,21.9,38,0.00,0.00,0.00,0.00
404164,77.2,351.63,1864,11.156,36.0,-3.42,-4.33,70.6,48.0,16.8,21.9,38,0.00,0.00,0.00,0.00
404324,77.2,352.83,1901,11.188,36.0,-1.37,-2.28,70.6,48.0,16.8,21.9,38,0.00,0.00,0.00,0.00
404524,77.2,345.74,1952,11.300,36.0,1.28,0.37,70.6,48.0,16.8,21.9,40,0.00,0.00,0.00,0.00
404683,77.2,345.42,1990,11.428,36.0,3.46,2.55,70.6,48.0,16.8,21.9,40,0.00,0.00,0.00,0.00
404844,77.2,348.19,2030,11.572,35.2,5.38,4.75,70.6,48.0,16.8,21.9,40,0.00,0.00,0.00,0.00
405005,77.2,348.34,2073,11.552,35.2,5.38,6.84,70.6,48.0,16.8,21.9,40,0.00,0.00,0.00,0.00
405203,77.2,347.66,2121,11.504,35.2,5.38,6.84,70.6,48.0,16.8,21.9,40,0.00,0.00,0.00,0.00
405364,77.2,342.20,2167,11.388,35.2,5.38,6.84,70.6,48.0,16.8,21.9,45,0.00,0.00,0.00,0.00
405564,77.2,340.93,2228,10.900,35.2,1.33,6.84,70.6,48.0,16.8,21.9,45,0.00,0.00,0.00,0.00
405765,77.2,339.02,2261,10.928,35.2,2.55,2.19,70.6,48.0,17.2,22.3,45,0.00,0.00,0.00,0.00
405964,77.2,359.64,2309,11.812,35.2,5.57,3.39,70.6,48.0,20.3,25.4,45,0.00,0.00,0.00,0.00
406124,77.2,377.65,2346,12.584,35.2,6.17,5.83,70.6,48.0,23.4,28.9,45,0.00,0.00,0.00,0.00
406326,77.2,384.64,2390,13.108,35.2,6.17,6.30,70.6,48.0,25.4,30.9,45,0.00,0.00,0.00,0.00
406524,78.0,400.91,2442,13.820,34.5,6.17,6.30,70.6,48.0,28.1,33.6,50,0.00,0.00,0.00,0.00
406684,78.0,422.32,2476,13.740,34.5,2.39,4.35,70.6,48.0,31.6,37.1,50,0.00,0.00,0.00,0.00
406884,78.0,423.57,2531,13.532,34.5,-1.28,0.69,70.6,48.0,34.4,39.5,50,0.00,0.00,0.00,0.00
407083,78.0,432.83,2586,14.008,34.5,-1.62,1.12,70.6,48.0,40.6,46.9,50,0.00,0.00,0.00,0.00
407244,78.0,441.77,2631,14.540,34.5,1.50,4.23,70.6,48.0,50.8,52.7,50,0.00,0.00,0.00,0.00
407404,78.0,444.06,2680,14.844,33.8,3.46,6.00,70.6,48.0,53.1,53.1,56,0.00,0.00,0.00,0.00
407564,78.0,441.71,2732,14.256,33.8,-0.39,6.00,70.6,48.0,53.5,53.1,56,0.00,0.00,0.00,0.00
407764,78.0,433.08,2780,13.600,33.8,-4.47,3.98,70.6,48.0,53.5,53.1,56,0.00,0.00,0.00,0.00
407964,78.0,443.36,2844,14.208,33.8,-0.08,-0.18,70.6,48.0,53.5,53.1,56,0.00,0.00,0.00,0.00
408124,78.0,440.24,2883,14.756,33.8,3.29,-3.55,70.6,48.0,53.5,53.1,56,0.00,0.00,0.00,0.00
408284,78.0,442.32,2948,14.476,33.8,0.67,-0.37,70.6,48.0,53.5,53.1,56,0.00,0.00,0.00,0.00
408483,78.0,447.47,3001,13.908,33.0,-3.69,3.99,71.4,48.0,53.5,53.1,63,0.00,0.00,0.00,0.00
408646,78.0,443.46,3050,14.280,33.0,-0.99,4.89,71.4,48.0,53.5,53.1,63,0.00,0.00,0.00,0.00
408844,78.0,442.45,3101,15.056,33.0,3.49,0.40,71.4,48.0,53.5,53.1,63,0.00,0.00,0.00,0.00
409043,78.0,450.90,3166,14.464,33.0,-0.24,-4.13,71.4,48.0,52.7,52.3,63,0.00,0.00,0.00,0.00
409204,78.0,443.95,3203,13.968,33.0,-3.91,0.43,71.4,48.0,52.0,51.6,63,0.00,0.00,0.00,0.00
409405,78.0,445.94,3276,14.476,32.2,-1.13,4.13,71.4,48.0,51.6,51.2,69,0.00,0.00,0.00,0.00
409604,78.0,454.82,3331,15.148,32.2,3.56,-1.28,71.4,48.0,47.3,48.8,69,0.00,0.00,0.00,0.00
409803,78.0,85.97,3295,6.140,32.2,2.65,-2.75,71.4,48.0,0.0,0.0,69,0.00,0.00,0.00,0.00
409965,78.0,75.94,3236,2.792,32.2,0.00,0.00,71.4,48.0,0.0,0.0,69,0.00,0.00,0.00,0.00
410162,78.0,72.83,3012,2.924,32.2,0.00,0.00,71.4,48.0,0.0,5.5,69,0.00,0.00,0.00,0.00
410324,78.0,89.04,3041,2.748,32.2,2.50,2.33,71.4,48.0,0.0,6.2,69,0.00,0.00,0.00,0.00
410525,78.0,69.82,2923,2.160,31.5,0.00,0.00,71.4,48.0,0.0,0.0,75,0.00,0.00,0.00,0.00
410724,78.0,67.24,2623,1.968,31.5,0.00,0.00,71.4,48.0,0.0,0.0,75,0.00,0.00,0.00,0.00
410924,78.0,85.82,2443,3.412,31.5,0.00,0.00,71.4,48.0,2.0,13.3,75,0.00,0.00,0.00,0.00
411085,78.0,426.09,2490,9.416,31.5,0.00,0.00,71.4,48.0,18.0,23.8,75,0.00,0.00,0.00,0.00
411284,78.0,383.43,2441,11.652,31.5,-4.57,-4.43,71.4,48.0,20.7,25.8,75,0.00,0.00,0.00,0.00
411483,78.0,352.73,2496,10.904,31.5,-7.88,-7.74,71.4,48.0,21.1,25.8,74,0.00,0.00,0.00,0.00
411643,78.0,355.59,2515,10.820,31.5,-5.83,-4.43,71.4,48.0,21.1,25.8,74,0.00,0.00,0.00,0.00
411804,78.0,358.43,2530,11.076,31.5,-3.26,-1.87,71.4,48.0,20.7,25.8,74,0.00,0.00,0.00,0.00
411964,78.0,355.74,2549,11.244,32.2,-0.66,0.73,71.4,48.0,20.7,25.8,74,0.00,0.00,0.00,0.00
412163,78.0,356.23,2569,11.548,32.2,2.64,4.03,71.4,48.0,20.7,25.8,74,0.00,0.00,0.00,0.00
412324,78.0,350.65,2590,11.464,32.2,3.30,4.36,71.4,48.0,20.7,25.8,74,0.00,0.00,0.00,0.00
412524,78.0,349.83,2616,11.312,32.2,3.30,4.36,71.4,48.0,20.7,25.4,77,0.00,0.00,0.00,0.00
412684,78.0,346.12,2632,11.260,32.2,3.30,4.36,71.4,48.0,20.3,25.4,77,0.00,0.00,0.00,0.00
412843,78.0,346.12,2648,10.864,32.2,0.09,0.30,71.4,48.0,20.3,25.4,77,0.00,0.00,0.00,0.00
413044,78.0,342.88,2669,10.720,32.2,0.07,2.66,71.4,48.0,20.3,25.4,77,0.00,0.00,0.00,0.00
413204,78.0,338.53,2691,10.952,32.2,2.81,5.39,71.4,48.0,19.9,25.0,77,0.00,0.00,0.00,0.00
413363,78.0,336.01,2707,11.032,32.2,4.54,5.39,71.4,48.0,19.5,24.2,81,0.00,0.00,0.00,0.00
413524,78.0,293.46,2721,10.228,32.2,4.54,5.39,71.4,48.8,14.1,18.8,81,0.00,0.00,0.00,0.00
413724,78.0,114.38,2707,6.072,32.2,4.54,3.12,71.4,48.8,0.0,0.0,81,0.00,0.00,0.00,0.00
413924,78.0,61.56,2729,3.016,31.5,1.52,0.72,71.4,48.8,0.0,0.0,81,0.00,0.00,0.00,0.00
414124,78.8,62.57,2707,2.332,31.5,-0.14,-0.94,71.4,48.8,0.0,0.0,81,0.00,0.00,0.00,0.00
414283,78.8,61.75,2698,2.052,31.5,-1.27,-2.08,71.4,48.8,0.0,0.0,81,0.00,0.00,0.00,0.00
414444,78.8,60.65,2702,1.872,31.5,-2.37,-3.18,71.4,48.8,0.0,0.0,83,0.00,0.00,0.00,0.00
414603,78.8,60.77,2696,1.776,31.5,-3.47,-2.14,71.4,48.8,0.0,0.0,83,0.00,0.00,0.00,0.00
414764,78.8,61.22,2676,1.672,31.5,0.00,0.00,71.4,48.8,0.0,0.0,83,0.00,0.00,0.00,0.00
414963,78.8,61.18,2678,1.652,30.8,0.00,0.00,71.4,48.8,0.0,0.0,83,0.00,0.00,0.00,0.00
415124,78.8,61.37,2670,1.632,30.8,0.00,0.00,71.4,48.8,0.0,0.0,83,0.00,0.00,0.00,0.00
415285,78.8,60.54,2660,1.624,30.8,0.00,0.00,71.4,48.8,0.0,0.0,83,0.00,0.00,0.00,0.00
415445,78.8,60.75,2651,1.600,30.8,0.00,0.00,71.4,48.8,0.0,0.0,82,0.00,0.00,0.00,0.00
415644,78.8,59.63,2631,1.592,30.8,0.00,0.00,71.4,48.8,0.0,0.0,82,0.00,0.00,0.00,0.00
415804,78.8,60.35,2623,1.584,30.8,0.00,0.00,71.4,48.8,0.0,0.0,82,0.00,0.00,0.00,0.00
415964,78.8,59.97,2616,1.584,30.8,0.00,0.00,71.4,48.8,0.0,0.0,82,0.00,0.00,0.00,0.00
416124,78.8,60.22,2605,1.576,30.8,0.00,0.00,71.4,48.8,0.0,0.0,82,0.00,0.00,0.00,0.00
416283,78.8,60.43,2596,1.568,30.8,0.00,0.00,71.4,48.8,0.0,0.4,82,0.00,0.00,0.00,0.00
416445,78.8,61.20,2609,1.820,31.5,0.00,0.00,71.4,48.8,0.0,2.3,80,0.00,0.00,0.00,0.00
416643,78.8,66.22,2600,1.932,31.5,1.15,1.09,71.4,48.8,0.0,2.7,80,0.00,0.00,0.00,0.00
416804,78.8,66.81,2577,2.000,31.5,2.18,2.12,71.4,48.8,0.0,2.7,80,0.00,0.00,0.00,0.00
417004,78.8,66.24,2578,2.020,31.5,3.46,3.40,71.4,48.8,0.0,3.5,80,0.00,0.00,0.00,0.00
417204,78.8,78.78,2573,2.192,31.5,4.74,4.68,71.4,48.8,0.0,5.5,80,0.00,0.00,0.00,0.00
417365,78.8,80.88,2575,2.384,31.5,5.77,5.70,71.4,48.8,0.0,5.9,78,0.00,0.00,0.00,0.00
417564,78.8,81.75,2565,2.484,31.5,7.05,6.99,71.4,48.8,0.0,5.9,78,0.00,0.00,0.00,0.00
417764,78.8,80.78,2561,2.532,31.5,7.56,8.30,71.4,48.8,0.0,5.9,78,0.00,0.00,0.00,0.00
417924,78.8,81.56,2554,2.532,31.5,7.56,9.39,71.4,48.8,0.0,5.9,78,0.00,0.00,0.00,0.00
418084,78.8,80.52,2552,2.532,31.5,7.56,9.53,71.4,48.8,0.0,5.9,78,0.00,0.00,0.00,0.00
418243,78.8,82.28,2548,2.544,31.5,7.56,9.53,71.4,48.8,0.0,5.9,78,0.00,0.00,0.00,0.00
418404,78.8,81.96,2541,2.548,31.5,7.56,9.53,71.4,48.8,0.0,5.9,78,0.00,0.00,0.00,0.00
418564,78.8,81.45,2540,2.476,31.5,4.70,9.53,71.4,48.8,0.0,5.9,78,0.00,0.00,0.00,0.00
418724,78.8,82.75,2534,2.456,31.5,3.60,9.53,71.4,48.8,0.0,5.9,78,0.00,0.00,0.00,0.00
418884,78.8,82.26,2532,2.488,31.5,4.74,6.94,71.4,48.8,0.0,5.9,78,0.00,0.00,0.00,0.00
419084,78.8,81.77,2530,2.516,31.5,6.12,5.57,71.4,49.5,0.0,5.9,78,0.00,0.00,0.00,0.00
419284,78.8,81.77,2530,2.560,31.5,7.49,6.85,71.4,49.5,0.0,5.9,78,0.00,0.00,0.00,0.00
419443,79.5,81.45,2523,2.564,32.2,7.56,7.94,71.4,49.5,0.0,5.9,77,0.00,0.00,0.00,0.00
419604,79.5,81.45,2523,2.544,32.2,7.56,9.04,71.4,49.5,0.0,5.9,77,0.00,0.00,0.00,0.00
419764,79.5,81.48,2522,2.540,32.2,7.56,9.46,71.4,49.5,0.0,5.9,77,0.00,0.00,0.00,0.00
419963,79.5,79.95,2518,2.536,32.2,7.56,9.46,71.4,49.5,0.0,5.9,77,0.00,0.00,0.00,0.00
420123,79.5,80.14,2512,2.468,32.2,5.32,9.46,71.4,49.5,0.0,5.9,77,0.00,0.00,0.00,0.00
420284,79.5,80.67,2513,2.436,32.2,4.29,9.46,71.4,49.5,0.0,5.9,77,0.00,0.00,0.00,0.00
420444,79.5,80.71,2512,2.416,32.2,3.27,9.46,71.4,49.5,0.0,5.9,77,0.00,0.00,0.00,0.00
420605,79.5,80.37,2505,2.456,32.2,5.02,6.89,71.4,49.5,0.0,5.9,77,0.00,0.00,0.00,0.00
420804,79.5,91.46,2505,2.572,32.2,6.32,5.59,71.4,49.5,0.0,8.6,77,0.00,0.00,0.00,0.00
420964,79.5,107.45,2507,3.072,32.2,6.53,4.46,71.4,49.5,0.0,8.6,77,0.00,0.00,0.00,0.00
421163,79.5,108.87,2500,3.276,32.2,6.53,7.94,71.4,49.5,0.0,8.6,77,0.00,0.00,0.00,0.00
421323,79.5,108.96,2498,3.352,32.2,6.53,9.18,71.4,49.5,0.0,8.6,77,0.00,0.00,0.00,0.00
421484,79.5,106.16,2498,3.376,32.2,6.53,9.88,71.4,49.5,0.0,8.6,77,0.00,0.00,0.00,0.00
421644,79.5,109.04,2496,3.276,32.2,4.04,9.88,71.4,49.5,0.0,8.6,77,0.00,0.00,0.00,0.00
421843,79.5,109.09,2495,3.280,33.0,2.49,9.88,71.4,49.5,0.0,8.6,77,0.00,0.00,0.00,0.00
422004,79.5,107.03,2491,3.220,33.0,1.24,9.88,71.4,49.5,0.0,8.6,77,0.00,0.00,0.00,0.00
422165,79.5,107.41,2495,3.248,33.0,2.39,9.88,71.4,49.5,0.0,8.6,77,0.00,0.00,0.00,0.00
422364,79.5,108.09,2492,3.292,33.0,3.94,6.54,71.4,49.5,0.0,8.6,76,0.00,0.00,0.00,0.00
422524,79.5,107.58,2491,3.324,33.0,5.19,5.30,71.4,49.5,0.0,8.6,76,0.00,0.00,0.00,0.00
422684,79.5,107.03,2491,3.340,33.0,5.58,4.05,71.4,49.5,0.0,8.6,76,0.00,0.00,0.00,0.00
422844,79.5,108.13,2491,3.348,33.0,5.58,2.81,71.4,49.5,0.0,8.6,76,0.00,0.00,0.00,0.00
423005,79.5,108.70,2491,3.348,33.0,5.58,4.57,71.4,49.5,0.0,8.6,76,0.00,0.00,0.00,0.00
423203,79.5,108.75,2490,3.408,33.0,5.58,6.13,71.4,49.5,0.0,8.6,76,0.00,0.00,0.00,0.00
423364,79.5,110.04,2486,3.292,33.0,3.32,6.28,72.2,49.5,0.0,8.6,76,0.00,0.00,0.00,0.00
423565,79.5,111.50,2478,3.232,33.0,1.77,6.28,72.2,49.5,0.0,9.0,76,0.00,0.00,0.00,0.00
423764,79.5,135.38,2482,3.628,33.0,0.17,6.28,72.2,49.5,0.8,10.5,76,0.00,0.00,0.00,0.00
423924,79.5,136.06,2480,3.976,33.0,2.25,6.28,72.2,49.5,0.8,10.5,76,0.00,0.00,0.00,0.00
424123,79.5,135.45,2481,4.156,33.0,3.99,3.10,72.2,49.5,0.8,10.5,76,0.00,0.00,0.00,0.00
424284,79.5,134.62,2486,4.160,33.0,3.99,1.64,72.2,49.5,0.8,10.5,76,0.00,0.00,0.00,0.00
424486,79.5,197.02,2488,5.256,33.0,3.99,3.71,72.2,49.5,4.3,14.1,76,0.00,0.00,0.00,0.00
424684,79.5,222.62,2495,6.340,33.0,3.99,4.93,72.2,49.5,5.5,14.5,76,0.00,0.00,0.00,0.00
424845,79.5,215.35,2502,6.696,33.8,3.99,4.93,72.2,49.5,5.5,14.5,76,0.00,0.00,0.00,0.00
425044,79.5,215.76,2510,6.468,33.8,0.07,4.93,72.2,49.5,5.5,14.5,76,0.00,0.00,0.00,0.00
425244,79.5,214.91,2520,6.540,33.8,1.56,4.93,72.2,49.5,5.5,14.5,76,0.00,0.00,0.00,0.00
425404,79.5,212.62,2521,6.644,33.8,3.53,1.50,72.2,49.5,5.5,14.5,76,0.00,0.00,0.00,0.00
425604,79.5,212.45,2536,6.712,33.8,5.27,3.00,72.2,49.5,5.5,14.5,76,0.00,0.00,0.00,0.00
425803,79.5,214.10,2536,6.680,33.8,5.27,5.53,72.2,49.5,5.5,14.5,76,0.00,0.00,0.00,0.00
425963,79.5,208.72,2548,6.676,33.8,5.27,5.91,72.2,49.5,5.5,14.5,76,0.00,0.00,0.00,0.00
426124,79.5,211.20,2551,6.648,33.8,5.27,5.91,72.2,49.5,5.5,14.5,76,0.00,0.00,0.00,0.00
426324,79.5,210.16,2557,6.424,33.8,2.33,5.91,72.2,49.5,5.5,14.5,76,0.00,0.00,0.00,0.00
426484,79.5,209.29,2561,6.292,33.8,0.28,5.91,72.2,49.5,5.5,14.5,77,0.00,0.00,0.00,0.00
426643,79.5,208.93,2572,6.320,33.8,0.70,2.46,72.2,49.5,5.5,14.5,77,0.00,0.00,0.00,0.00
426844,79.5,207.30,2579,6.452,33.8,3.26,-0.10,72.2,49.5,5.5,14.5,77,0.00,0.00,0.00,0.00
427003,79.5,208.02,2590,6.576,33.8,5.31,2.62,72.2,49.5,5.5,14.5,77,0.00,0.00,0.00,0.00
427164,79.5,207.01,2596,6.596,33.8,5.57,4.67,72.2,49.5,5.5,14.5,77,0.00,0.00,0.00,0.00
427324,79.5,206.48,2596,6.576,33.8,5.57,6.21,72.2,49.5,5.5,14.5,77,0.00,0.00,0.00,0.00
427524,79.5,208.13,2602,6.556,33.8,5.57,6.21,72.2,49.5,5.5,14.5,79,0.00,0.00,0.00,0.00
427684,79.5,206.03,2615,6.564,33.8,5.57,6.21,72.2,49.5,5.5,14.5,79,0.00,0.00,0.00,0.00
427844,79.5,211.05,2612,6.344,33.8,1.97,6.21,72.2,49.5,5.5,14.5,79,0.00,0.00,0.00,0.00
428045,79.5,206.50,2616,6.332,33.8,2.07,3.28,72.2,49.5,5.5,14.5,79,0.00,0.00,0.00,0.00
428243,79.5,209.44,2619,6.504,33.8,4.73,0.63,72.2,49.5,5.5,14.1,79,0.00,0.00,0.00,0.00
428404,79.5,198.15,2628,6.516,33.8,6.19,2.84,72.2,49.5,4.7,13.7,80,0.00,0.00,0.00,0.00
428564,79.5,180.98,2624,6.152,33.8,6.19,4.91,72.2,49.5,3.5,12.9,80,0.00,0.00,0.00,0.00
428723,79.5,179.52,2630,5.824,33.8,6.19,4.91,72.2,49.5,3.1,12.5,80,0.00,0.00,0.00,0.00
428884,79.5,174.18,2631,5.616,33.8,6.19,4.91,72.2,49.5,2.7,12.5,80,0.00,0.00,0.00,0.00
429044,79.5,175.50,2635,5.560,33.8,6.19,4.91,72.2,49.5,2.7,12.5,80,0.00,0.00,0.00,0.00
429244,79.5,173.12,2639,5.292,33.8,1.73,4.91,72.2,49.5,2.7,12.5,80,0.00,0.00,0.00,0.00
429444,79.5,172.47,2641,5.120,33.8,-0.74,0.58,72.2,49.5,2.7,12.5,80,0.00,0.00,0.00,0.00
429645,79.5,171.41,2649,5.308,33.8,2.97,3.07,72.2,49.5,2.7,12.5,80,0.00,0.00,0.00,0.00
429844,79.5,173.91,2651,5.460,33.8,5.37,5.47,72.2,49.5,2.7,12.5,80,0.00,0.00,0.00,0.00
430043,79.5,171.94,2649,5.468,33.8,5.49,6.32,72.2,49.5,2.7,12.5,80,0.00,0.00,0.00,0.00
430205,79.5,172.08,2655,5.436,33.8,5.49,6.32,72.2,49.5,2.7,12.1,80,0.00,0.00,0.00,0.00
430406,79.5,169.20,2659,5.380,33.8,5.49,6.32,73.0,49.5,2.3,12.1,81,0.00,0.00,0.00,0.00
430604,80.2,171.81,2659,5.240,33.8,2.95,6.32,73.0,49.5,2.3,12.1,81,0.00,0.00,0.00,0.00
430764,80.2,163.21,2663,5.036,33.8,1.04,2.58,73.0,49.5,1.6,10.9,81,0.00,0.00,0.00,0.00
430924,80.2,136.10,2663,4.424,33.8,-0.81,0.73,73.0,49.5,0.8,10.5,81,0.00,0.00,0.00,0.00
431124,80.2,120.97,2663,3.896,33.8,1.72,-1.30,73.0,49.5,0.4,9.4,81,0.00,0.00,0.00,0.00
431284,80.2,104.40,2660,3.460,33.8,1.72,1.24,73.0,49.5,0.0,6.6,81,0.00,0.00,0.00,0.00
431446,80.2,90.91,2658,3.068,33.8,1.72,2.58,73.0,48.8,0.0,6.6,81,0.00,0.00,0.00,0.00
431643,80.2,88.49,2652,2.876,33.8,1.72,4.23,73.0,48.8,0.0,6.6,81,0.00,0.00,0.00,0.00
431804,80.2,88.00,2651,2.736,33.8,1.72,4.70,73.0,48.8,0.0,6.6,81,0.00,0.00,0.00,0.00
431964,80.2,88.62,2648,2.584,33.8,-1.33,1.64,73.0,48.8,0.0,6.6,81,0.00,0.00,0.00,0.00
432123,80.2,88.32,2641,2.632,33.8,1.07,0.47,73.0,48.8,0.0,6.6,81,0.00,0.00,0.00,0.00
432285,80.2,88.43,2638,2.652,33.8,2.24,2.87,73.0,48.8,0.0,6.6,81,0.00,0.00,0.00,0.00
432484,80.2,88.55,2634,2.688,33.8,3.71,4.34,73.0,48.8,0.0,6.6,81,0.00,0.00,0.00,0.00
432645,80.2,90.25,2631,2.712,33.8,4.66,5.51,73.0,48.8,0.0,6.6,81,0.00,0.00,0.00,0.00
432844,80.2,89.29,2628,2.708,33.8,4.66,6.09,73.0,48.8,0.0,6.6,81,0.00,0.00,0.00,0.00
433045,80.2,88.89,2624,2.724,33.8,4.66,2.60,73.0,48.8,0.0,6.6,81,0.00,0.00,0.00,0.00
433244,80.2,89.17,2616,2.728,33.8,4.66,1.13,73.0,48.8,0.0,6.6,81,0.00,0.00,0.00,0.00
433404,80.2,88.79,2612,2.724,33.8,4.66,3.98,73.0,48.8,0.0,6.6,80,0.00,0.00,0.00,0.00
433605,80.2,93.32,2604,2.656,33.8,1.16,5.44,73.0,48.8,0.0,7.0,80,0.00,0.00,0.00,0.00
433804,80.2,94.47,2602,2.784,33.8,3.46,6.94,73.0,48.8,0.0,7.0,80,0.00,0.00,0.00,0.00
434005,80.2,92.90,2601,2.844,33.8,5.01,4.30,73.0,48.8,0.0,7.0,80,0.00,0.00,0.00,0.00
434165,80.2,95.14,2598,2.900,33.8,6.26,3.05,73.0,48.8,0.0,7.0,80,0.00,0.00,0.00,0.00
434364,80.2,93.28,2590,2.912,33.8,6.26,5.17,73.0,48.8,0.0,7.0,79,0.00,0.00,0.00,0.00
434565,80.2,94.40,2589,2.920,33.8,6.26,6.72,73.0,48.8,0.0,7.0,79,0.00,0.00,0.00,0.00
434763,80.2,93.94,2587,2.908,33.8,6.26,4.70,73.0,48.8,0.0,7.0,79,0.00,0.00,0.00,0.00
434926,80.2,95.76,2581,2.908,33.8,6.26,3.48,73.0,48.8,0.0,7.8,79,0.00,0.00,0.00,0.00
435124,80.2,101.10,2582,2.932,33.8,2.90,4.27,73.0,48.8,0.0,8.2,79,0.00,0.00,0.00,0.00
435285,80.2,102.45,2575,2.972,33.8,1.66,5.52,73.0,48.8,0.0,8.2,79,0.00,0.00,0.00,0.00
435484,80.2,102.45,2575,3.088,33.8,4.20,7.07,73.0,49.5,0.0,8.2,79,0.00,0.00,0.00,0.00
435684,80.2,102.45,2575,3.148,33.8,5.76,5.05,73.0,49.5,0.0,8.2,79,0.00,0.00,0.00,0.00
435844,80.2,102.50,2574,3.168,34.5,6.23,3.81,73.0,49.5,0.0,8.2,79,0.00,0.00,0.00,0.00
436004,80.2,101.99,2573,3.184,34.5,6.23,2.56,73.0,49.5,0.0,8.2,79,0.00,0.00,0.00,0.00
436204,80.2,102.73,2568,3.184,34.5,6.23,5.26,73.0,49.5,0.0,8.2,79,0.00,0.00,0.00,0.00
436364,80.2,103.77,2569,3.212,34.5,6.23,6.51,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
436564,80.2,102.16,2569,3.128,34.5,3.82,3.87,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
436764,80.2,104.59,2562,3.080,34.5,2.26,2.31,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
436964,80.2,102.86,2565,3.072,34.5,2.78,3.45,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
437124,80.2,102.98,2562,3.112,34.5,4.03,4.70,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
437284,80.2,103.60,2560,3.160,34.5,5.27,5.94,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
437484,80.2,102.60,2558,3.200,34.5,6.29,7.34,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
437684,80.2,101.50,2558,3.060,34.5,2.86,4.55,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
437845,80.2,104.04,2549,3.036,34.5,1.62,3.30,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
438044,80.2,102.67,2556,3.092,34.5,3.70,4.60,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
438204,80.2,101.71,2553,3.136,34.5,4.94,5.85,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
438404,80.2,103.00,2548,3.076,34.5,3.08,6.47,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
438563,80.2,102.45,2548,3.040,34.5,1.83,3.20,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
438724,80.2,104.21,2545,3.008,34.5,0.59,1.96,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
438885,80.2,100.93,2545,3.108,34.5,3.76,4.19,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
439043,80.2,103.20,2543,3.128,34.5,5.00,5.44,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
439204,80.2,103.28,2541,3.180,34.5,5.93,6.68,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
439364,80.2,103.15,2544,3.092,34.5,3.21,7.85,73.0,49.5,0.0,8.2,78,0.00,0.00,0.00,0.00
